,Date,Date,HomeTeam,AwayTeam,Helper,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,B365H,B365D,B365A,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,#N/A
688,08/2004,08/2004,Charlton,Aston Villa,08/2004 Charlton Aston Villa,3,0,H,3,3,5,1,1,1.333333333,W,L,M,M,M,D,W,M,M,M,7,6,3,WLMMM,DWMMM,3,4,0,0,0,0,0,0,0,0,-0.6666666667,0.6666666667,-0.3333333333,-0.3333333333,1,2.5,3.2,2.75,2.3,3,2.7,2.5,3.2,2.5,2.3,3.1,2.75,#N/A
689,08/2004,08/2004,Fulham,Middlesbrough,08/2004 Fulham Middlesbrough,0,2,NH,3,5,1,7,1.333333333,0.3333333333,W,D,M,M,M,L,D,M,M,M,9,11,3,WDMMM,LDMMM,4,1,0,0,0,0,0,0,0,0,0.6666666667,-0.6666666667,1,1,-2,2.5,3.2,2.75,2.3,3,2.7,2.2,3.25,2.75,2.3,3.1,2.75,#N/A
690,08/2004,08/2004,Newcastle United,Norwich,08/2004 Newcastle United Norwich,2,2,NH,2,2,3,3,0.3333333333,0.3333333333,L,D,M,M,M,L,D,M,M,M,5,18,3,LDMMM,LDMMM,1,1,0,0,0,0,0,0,0,0,-0.3333333333,-0.3333333333,0,0,-13,1.44,4,7.5,1.45,3.8,5.4,1.44,3.6,6.5,1.5,3.4,6,#N/A
691,08/2004,08/2004,Southampton,Bolton,08/2004 Southampton Bolton,1,2,NH,3,4,4,3,1,1,W,L,M,M,M,L,W,M,M,M,12,8,3,WLMMM,LWMMM,3,3,0,0,0,0,0,0,0,0,-0.3333333333,0.3333333333,0,0,4,2.25,3.2,3.1,2.2,3,2.9,2.2,3.25,2.75,2.3,3.1,2.75,#N/A
692,08/2004,08/2004,West Brom,Tottenham Hotspur,08/2004 West Brom Tottenham Hotspur,1,1,NH,2,2,2,1,0.6666666667,1.333333333,D,D,M,M,M,W,D,M,M,M,18,15,3,DDMMM,WDMMM,2,4,0,0,0,0,0,0,0,0,0,0.3333333333,-0.6666666667,-0.6666666667,3,2.75,3.2,2.5,2.6,3,2.4,2.5,3.25,2.4,2.75,3.1,2.3,#N/A
693,08/2004,08/2004,Aston Villa,Newcastle United,08/2004 Aston Villa Newcastle United,4,2,H,3,2,1,3,1.333333333,0.3333333333,D,W,M,M,M,L,D,M,M,M,6,5,3,DWMMM,LDMMM,4,1,0,0,0,0,0,0,0,0,0.6666666667,-0.3333333333,1,1,1,2.4,3.2,2.87,2.3,3,2.7,2.2,3.2,2.8,2.3,3,2.8,#N/A
694,08/2004,08/2004,Blackburn,Manchester United,08/2004 Blackburn Manchester United,1,1,NH,3,2,4,2,0.3333333333,1,L,D,M,M,M,W,L,M,M,M,15,3,3,LDMMM,WLMMM,1,3,0,0,0,0,0,0,0,0,-0.3333333333,0,-0.6666666667,-0.6666666667,12,5,3.4,1.72,3.5,3.1,1.9,4.5,3.25,1.67,4,3,1.83,#N/A
695,08/2004,08/2004,Chelsea,Southampton,08/2004 Chelsea Southampton,2,1,H,4,4,0,6,2.25,0.75,W,W,W,M,M,L,W,L,M,M,2,12,4,WWWMM,LWLMM,9,3,0,0,0,0,0,0,0,0,1,-0.5,1.5,1.5,-10,1.28,5,10,1.25,4.5,9,1.29,4,10,1.3,4.2,8.5,#N/A
696,08/2004,08/2004,Everton,West Brom,08/2004 Everton West Brom,2,1,H,6,3,6,3,1.5,0.75,W,W,L,M,M,D,D,D,M,M,17,18,4,WWLMM,DDDMM,6,3,0,0,0,0,0,0,0,0,0,0,0.75,0.75,-1,2,3.2,3.75,2,3.1,3.2,1.91,3.2,3.5,2.05,2.87,3.5,#N/A
697,08/2004,08/2004,Manchester City,Charlton,08/2004 Manchester City Charlton,4,0,H,2,6,4,5,0.25,1.5,L,L,D,M,M,W,W,L,M,M,16,7,4,LLDMM,WWLMM,1,6,0,0,0,0,0,0,0,0,-0.5,0.25,-1.25,-1.25,9,2.25,3.2,3.1,2.1,3,3.1,2,3.2,3.2,2.1,3.1,3.1,#N/A
698,08/2004,08/2004,Middlesbrough,Crystal Palace,08/2004 Middlesbrough Crystal Palace,2,1,H,7,2,7,6,1,0.25,W,L,D,M,M,L,L,D,M,M,11,18,4,WLDMM,LLDMM,4,1,0,0,0,0,0,0,0,0,0,-1,0.75,0.75,-7,1.44,4,7.5,1.5,3.7,5,1.5,3.4,6,1.53,3.5,5.5,#N/A
699,08/2004,08/2004,Norwich,Arsenal,08/2004 Norwich Arsenal,1,4,NH,4,12,5,4,0.5,2.25,D,L,D,M,M,W,W,W,M,M,18,1,4,DLDMM,WWWMM,2,9,0,0,0,0,0,0,0,0,-0.25,2,-1.75,-1.75,17,9,4.33,1.36,6,3.9,1.4,7,3.75,1.4,8,4,1.33,#N/A
700,08/2004,08/2004,Tottenham Hotspur,Birmingham,08/2004 Tottenham Hotspur Birmingham,1,0,H,3,2,2,2,1.25,1,D,W,D,M,M,W,L,D,M,M,15,10,4,DWDMM,WLDMM,5,4,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,5,2,3.2,3.75,2.1,3,3.1,1.83,3.2,3.75,2.15,3.1,3,#N/A
701,08/2004,08/2004,Bolton,Liverpool,08/2004 Bolton Liverpool,1,0,H,6,3,4,3,1.5,1,W,L,W,M,M,L,W,D,M,M,8,4,4,WLWMM,LWDMM,6,4,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,4,3.2,3.25,2.2,2.9,3,2.2,3.2,3.2,2,3,3.1,2.15,#N/A
702,08/2004,08/2004,Manchester United,Everton,08/2004 Manchester United Everton,0,0,NH,3,6,3,6,1,1.5,D,W,L,M,M,W,W,L,M,M,3,17,4,DWLMM,WWLMM,4,6,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-14,1.28,5,10,1.3,4.2,8,1.286,4.333,9,1.28,4.33,8.5,#N/A
703,08/2004,08/2004,Portsmouth,Fulham,08/2004 Portsmouth Fulham,4,3,H,6,3,6,3,1,1,W,L,D,M,M,L,W,D,M,M,13,9,4,WLDMM,LWDMM,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2.3,3.25,3,2.2,3,2.9,2.38,3.2,2.6,2.15,3.1,3,#N/A
704,09/2004,09/2004,Aston Villa,Chelsea,09/2004 Aston Villa Chelsea,0,0,NH,3,4,4,0,1,2.25,L,D,W,M,M,W,W,W,M,M,6,2,4,LDWMM,WWWMM,4,9,0,0,0,0,0,0,0,0,-0.25,1,-1.25,-1.25,4,4.333,3.1,1.909,3.5,3.1,1.9,3.75,3.25,1.8,3.5,3.2,1.9,#N/A
705,09/2004,09/2004,Bolton,Manchester United,09/2004 Bolton Manchester United,2,2,NH,7,3,4,3,1.8,1,W,W,L,W,M,D,D,W,L,M,8,3,5,WWLWM,DDWLM,9,5,0,0,0,0,0,0,0,0,0.6,0,0.8,0.8,5,3.75,3.5,1.909,3.2,3.1,2,3.6,3.4,1.833,3.5,3.2,1.9,#N/A
706,09/2004,09/2004,Fulham,Arsenal,09/2004 Fulham Arsenal,0,3,NH,6,16,7,5,0.8,2.4,L,L,W,D,M,W,W,W,W,M,9,1,5,LLWDM,WWWWM,4,12,0,0,0,0,0,0,0,0,-0.2,2.2,-1.6,-1.6,8,7,3.6,1.533,4.8,3.5,1.55,6.5,3.6,1.444,7,3.5,1.44,#N/A
707,09/2004,09/2004,Liverpool,West Brom,09/2004 Liverpool West Brom,3,0,H,6,4,3,5,1.4,0.6,W,L,W,D,M,L,D,D,D,M,4,18,5,WLWDM,LDDDM,7,3,0,0,0,0,0,0,0,0,0.6,-0.2,0.8,0.8,-14,1.444,3.75,8.5,1.4,3.9,6,1.4,3.75,7,1.5,3.4,6,#N/A
708,09/2004,09/2004,Manchester City,Everton,09/2004 Manchester City Everton,0,1,NH,6,6,4,6,0.8,1.4,W,L,L,D,M,D,W,W,L,M,16,17,5,WLLDM,DWWLM,4,7,0,0,0,0,0,0,0,0,0.4,0,-0.6,-0.6,-1,1.909,3.1,4.333,1.8,3.1,3.8,2,3.2,3.2,2,3.2,3.2,#N/A
709,09/2004,09/2004,Middlesbrough,Birmingham,09/2004 Middlesbrough Birmingham,2,1,H,9,2,8,3,1.4,0.8,W,W,L,D,M,L,W,L,D,M,11,10,5,WWLDM,LWLDM,7,4,0,0,0,0,0,0,0,0,0.2,-0.2,0.6,0.6,1,1.909,3.1,4.333,1.9,3.1,3.5,1.8,3.25,3.75,2,3.1,3.3,#N/A
710,09/2004,09/2004,Newcastle United,Blackburn,09/2004 Newcastle United Blackburn,3,0,H,6,4,9,8,0.4,0.4,L,D,L,D,M,D,L,L,D,M,5,15,5,LDLDM,DLLDM,2,2,0,0,0,0,0,0,0,0,-0.6,-0.8,0,0,-10,1.667,3.4,5.5,1.7,3.2,4.2,1.615,3.5,4.5,1.8,2.9,4.5,#N/A
711,09/2004,09/2004,Portsmouth,Crystal Palace,09/2004 Portsmouth Crystal Palace,3,1,H,9,3,7,8,1.4,0.2,W,W,L,D,M,L,L,L,D,M,13,18,5,WWLDM,LLLDM,7,1,0,0,0,0,0,0,0,0,0.4,-1,1.2,1.2,-5,1.8,3.5,4.333,1.8,3.1,3.8,1.727,3.4,4,1.72,3.25,4.2,#N/A
712,09/2004,09/2004,Tottenham Hotspur,Norwich,09/2004 Tottenham Hotspur Norwich,0,0,NH,4,5,2,9,1.6,0.4,W,D,W,D,M,L,D,L,D,M,15,18,5,WDWDM,LDLDM,8,2,0,0,0,0,0,0,0,0,0.4,-0.8,1.2,1.2,-3,1.571,3.5,6.5,1.55,3.5,4.8,1.571,3.5,5,1.57,3.3,5.5,#N/A
713,09/2004,09/2004,Charlton,Southampton,09/2004 Charlton Southampton,0,0,NH,6,5,9,8,1.2,0.6,L,W,W,L,M,L,L,W,L,M,7,12,5,LWWLM,LLWLM,6,3,0,0,0,0,0,0,0,0,-0.6,-0.6,0.6,0.6,-5,1.833,3.3,4.333,1.9,3.1,3.5,1.833,3.2,3.75,1.8,3.3,3.75,#N/A
714,09/2004,09/2004,Arsenal,Bolton,09/2004 Arsenal Bolton,2,2,NH,16,7,5,4,2.4,1.8,W,W,W,W,M,W,W,L,W,M,1,8,5,WWWWM,WWLWM,12,9,0,0,0,0,0,0,0,0,2.2,0.6,0.6,0.6,-7,1.25,5,13,1.3,4.2,8,1.25,4.5,10,1.2,5,11,#N/A
715,09/2004,09/2004,Birmingham,Charlton,09/2004 Birmingham Charlton,1,1,NH,3,6,5,9,0.6666666667,1.166666667,L,L,W,L,D,D,L,W,W,L,10,7,6,LLWLD,DLWWL,4,7,0,0,0,0,0,0,0,0,-0.3333333333,-0.5,-0.5,-0.5,3,1.9,3.1,4.33,1.8,3.1,3.8,1.91,3.25,3.4,1.8,3.3,3.75,#N/A
716,09/2004,09/2004,Blackburn,Portsmouth,09/2004 Blackburn Portsmouth,1,0,H,4,9,11,8,0.3333333333,1.166666667,L,D,L,L,D,L,W,W,L,D,15,13,6,LDLLD,LWWLD,2,7,0,0,0,0,0,0,0,0,-1.166666667,0.1666666667,-0.8333333333,-0.8333333333,2,2.2,3.25,3.2,2,3.1,3.2,2.1,3.2,3,2.15,3,3.1,#N/A
717,09/2004,09/2004,Crystal Palace,Manchester City,09/2004 Crystal Palace Manchester City,1,2,NH,4,6,11,5,0.1666666667,0.6666666667,L,L,L,L,D,L,W,L,L,D,18,16,6,LLLLD,LWLLD,1,4,0,0,0,0,0,0,0,0,-1.166666667,0.1666666667,-0.5,-0.5,2,2.6,3.2,2.62,2.5,3,2.5,2.5,3.25,2.4,2.5,3.1,2.5,#N/A
718,09/2004,09/2004,Norwich,Aston Villa,09/2004 Norwich Aston Villa,0,0,NH,5,7,9,6,0.5,1.333333333,D,L,D,L,D,D,W,L,D,W,18,6,6,DLDLD,DWLDW,3,8,0,0,0,0,0,0,0,0,-0.6666666667,0.1666666667,-0.8333333333,-0.8333333333,12,2.75,3.2,2.5,2.5,3,2.5,2.6,3.2,2.38,2.62,2.9,2.5,#N/A
719,09/2004,09/2004,West Brom,Fulham,09/2004 West Brom Fulham,1,1,NH,4,6,8,10,0.5,0.6666666667,L,L,D,D,D,L,L,L,W,D,18,9,6,LLDDD,LLLWD,3,4,0,0,0,0,0,0,0,0,-0.6666666667,-0.6666666667,-0.1666666667,-0.1666666667,9,2.5,3.2,2.75,2.2,3,2.9,2.38,3.2,2.6,2.37,3.1,2.62,#N/A
720,09/2004,09/2004,Chelsea,Tottenham Hotspur,09/2004 Chelsea Tottenham Hotspur,0,0,NH,6,4,1,2,2.166666667,1.5,D,W,W,W,W,D,W,D,W,D,2,15,6,DWWWW,DWDWD,13,9,1,0,0,0,0,0,0,0,0.8333333333,0.3333333333,0.6666666667,0.6666666667,-13,1.5,3.6,7.5,1.4,3.9,6,1.5,3.4,6,1.44,3.5,7,#N/A
721,09/2004,09/2004,Everton,Middlesbrough,09/2004 Everton Middlesbrough,1,0,H,7,11,6,9,1.666666667,1.666666667,W,D,W,W,L,W,W,W,L,D,17,11,6,WDWWL,WWWLD,10,10,0,0,0,0,0,0,0,0,0.1666666667,0.3333333333,0,0,6,2.5,3.2,2.75,2.4,3,2.6,2.25,3.2,2.75,2.37,3.1,2.62,#N/A
722,09/2004,09/2004,Southampton,Newcastle United,09/2004 Southampton Newcastle United,1,2,NH,5,9,8,9,0.6666666667,0.8333333333,D,L,L,W,L,W,L,D,L,D,12,5,6,DLLWL,WLDLD,4,5,0,0,0,0,0,0,0,0,-0.5,0,-0.1666666667,-0.1666666667,7,2.87,3.25,2.37,2.5,3,2.5,2.6,3.2,2.38,2.75,3.2,2.25,#N/A
723,09/2004,09/2004,Manchester United,Liverpool,09/2004 Manchester United Liverpool,2,1,H,5,7,5,5,1,1.166666667,D,D,D,W,L,L,W,L,W,D,3,4,6,DDDWL,LWLWD,6,7,0,0,0,0,0,0,0,0,0,0.3333333333,-0.1666666667,-0.1666666667,-1,2,3.2,3.75,2.1,3,3.1,1.83,3.2,3.75,2,3,3.4,#N/A
724,09/2004,09/2004,Aston Villa,Crystal Palace,09/2004 Aston Villa Crystal Palace,1,1,NH,7,4,6,11,1.333333333,0.1666666667,D,W,L,D,W,L,L,L,L,D,6,18,6,DWLDW,LLLLD,8,1,0,0,0,0,0,0,0,0,0.1666666667,-1.166666667,1.166666667,1.166666667,-12,1.5,3.6,7.5,1.45,3.8,5.4,1.36,3.75,8,1.5,3.4,6,#N/A
725,09/2004,09/2004,Bolton,Birmingham,09/2004 Bolton Birmingham,1,1,NH,11,4,8,6,1.571428571,0.7142857143,D,D,W,W,L,D,L,L,W,L,8,10,7,DDWWL,DLLWL,8,4,0,0,0,0,0,0,0,0,0.4285714286,-0.2857142857,0.8571428571,0.5714285714,-2,2,3.2,3.75,1.9,3.1,3.5,1.8,3.2,4,2,3.1,3.3,#N/A
726,09/2004,09/2004,Fulham,Southampton,09/2004 Fulham Southampton,1,0,H,7,6,11,10,0.7142857143,0.5714285714,D,L,L,L,W,L,D,L,L,W,9,12,7,DLLLW,LDLLW,4,4,0,0,0,0,0,0,0,0,-0.5714285714,-0.5714285714,0.1428571429,0,-3,2,3.2,3.75,1.85,3.1,3.6,1.83,3.2,3.75,1.83,3.2,3.75,#N/A
727,09/2004,09/2004,Liverpool,Norwich,09/2004 Liverpool Norwich,3,0,H,10,5,5,9,1.428571429,0.5714285714,W,L,W,L,W,D,D,L,D,L,4,18,7,WLWLW,DDLDL,9,3,0,0,0,0,0,0,0,0,0.7142857143,-0.5714285714,0.8571428571,0.8571428571,-14,1.4,4,9,1.4,3.9,6,1.36,3.75,8,1.36,3.75,8,#N/A
728,09/2004,09/2004,Manchester City,Arsenal,09/2004 Manchester City Arsenal,0,1,NH,8,21,6,7,1,2.285714286,W,L,W,L,L,D,W,W,W,W,16,1,7,WLWLL,DWWWW,6,13,0,0,0,0,1,0,0,0,0.2857142857,2,-1.285714286,-1,15,6.5,3.5,1.57,5,3.7,1.5,6,3.4,1.5,6,3.4,1.5,#N/A
729,09/2004,09/2004,Middlesbrough,Chelsea,09/2004 Middlesbrough Chelsea,0,1,NH,11,6,10,1,1.428571429,2,L,W,W,W,L,D,D,W,W,W,11,2,7,LWWWL,DDWWW,9,11,0,0,0,0,1,0,0,0,0.1428571429,0.7142857143,-0.5714285714,-0.2857142857,9,3.5,3.2,2.1,3.2,3.1,2,3.75,3.2,1.83,3.1,3.1,2.1,#N/A
730,09/2004,09/2004,Newcastle United,West Brom,09/2004 Newcastle United West Brom,3,1,H,11,5,10,9,1.142857143,0.5714285714,W,W,L,D,L,D,L,L,D,D,5,18,7,WWLDL,DLLDD,7,3,0,0,0,0,0,0,0,0,0.1428571429,-0.5714285714,0.5714285714,0.5714285714,-13,1.5,3.75,7,1.45,3.8,5.4,1.4,3.75,7,1.53,3.1,6.5,#N/A
731,09/2004,09/2004,Tottenham Hotspur,Manchester United,09/2004 Tottenham Hotspur Manchester United,0,1,NH,4,7,2,6,1.428571429,1.285714286,D,D,W,D,W,W,D,D,D,W,15,3,7,DDWDW,WDDDW,9,9,0,0,0,0,0,0,0,0,0.2857142857,0.1428571429,0.1428571429,0,12,3.4,3.25,2.1,3.2,3.1,2,3,3.2,2.1,3.2,3,2.1,#N/A
732,09/2004,09/2004,Portsmouth,Everton,09/2004 Portsmouth Everton,0,1,NH,9,8,9,6,1,1.857142857,L,L,W,W,L,W,W,D,W,W,13,17,7,LLWWL,WWDWW,6,13,0,0,0,0,0,0,0,0,0,0.2857142857,-0.8571428571,-1,-4,2.25,3.2,3.1,2.3,3,2.7,2.25,3.2,2.75,2.1,3.2,3,#N/A
733,09/2004,09/2004,Charlton,Blackburn,09/2004 Charlton Blackburn,1,0,H,7,5,10,11,1.142857143,0.7142857143,D,D,L,W,W,W,L,D,L,L,7,15,7,DDLWW,WLDLL,8,4,0,0,0,0,0,0,0,0,-0.4285714286,-0.8571428571,0.4285714286,0.5714285714,-8,2.1,3.25,3.4,2,3.1,3.2,1.91,3.2,3.5,1.95,3.1,3.5,#N/A
734,10/2004,10/2004,Arsenal,Charlton,10/2004 Arsenal Charlton,4,0,H,21,7,7,10,2.285714286,1.142857143,D,W,W,W,W,D,D,L,W,W,1,7,7,DWWWW,DDLWW,13,8,1,0,0,0,0,0,0,0,2,-0.4285714286,1.142857143,0.7142857143,-6,1.28,5,10,1.33,4,7.5,1.2,5,11,1.22,5,9.5,#N/A
735,10/2004,10/2004,Blackburn,Aston Villa,10/2004 Blackburn Aston Villa,2,2,NH,5,8,12,7,0.625,1.25,L,W,L,D,L,D,D,D,W,L,15,6,8,LWLDL,DDDWL,4,6,0,0,0,0,0,0,0,0,-0.875,0.125,-0.625,-0.25,9,2.37,3.25,2.87,2.3,3,2.7,2.38,3.2,2.6,2.37,3,2.7,#N/A
736,10/2004,10/2004,Everton,Tottenham Hotspur,10/2004 Everton Tottenham Hotspur,0,1,NH,9,4,6,3,2,1.25,W,W,W,D,W,L,D,D,W,D,17,15,8,WWWDW,LDDWD,13,6,0,0,0,0,0,0,0,0,0.375,0.125,0.75,0.875,2,2.25,3.2,3.1,2.2,3,2.9,2.1,3.2,3,2.25,3.1,2.8,#N/A
737,10/2004,10/2004,Norwich,Portsmouth,10/2004 Norwich Portsmouth,2,2,NH,5,11,12,11,0.5,1,L,D,D,L,D,D,L,L,W,W,18,13,8,LDDLD,DLLWW,3,7,0,0,0,0,0,0,0,0,-0.875,0,-0.5,-0.5,5,2.37,3.25,2.87,2.2,3,2.9,2.38,3,2.75,2.37,3,2.7,#N/A
738,10/2004,10/2004,Southampton,Manchester City,10/2004 Southampton Manchester City,0,0,NH,6,8,11,7,0.5,0.875,L,L,D,L,L,L,W,L,W,L,12,16,8,LLDLL,LWLWL,1,6,0,0,0,0,0,0,0,0,-0.625,0.125,-0.375,-0.625,-4,2.37,3.25,2.87,2.2,3,2.9,2.25,3.2,2.75,2.37,3.1,2.62,#N/A
739,10/2004,10/2004,West Brom,Bolton,10/2004 West Brom Bolton,2,1,H,6,12,12,9,0.5,1.5,L,D,L,L,D,D,D,D,W,W,18,8,8,LDLLD,DDDWW,2,9,0,0,0,0,0,0,0,0,-0.75,0.375,-1,-0.875,10,2.75,3.2,2.5,2.5,3,2.5,2.75,3.2,2.25,2.62,2.9,2.5,#N/A
740,10/2004,10/2004,Birmingham,Newcastle United,10/2004 Birmingham Newcastle United,2,2,NH,5,14,7,11,0.75,1.375,D,D,L,L,W,W,W,W,L,D,10,5,8,DDLLW,WWWLD,5,10,0,0,0,0,0,0,0,0,-0.25,0.375,-0.625,-0.625,5,2.62,3.2,2.6,2.5,3,2.5,2.5,3.2,2.5,2.6,3.1,2.4,#N/A
741,10/2004,10/2004,Chelsea,Liverpool,10/2004 Chelsea Liverpool,1,0,H,7,10,1,6,2.125,1.25,W,D,D,W,W,L,W,L,W,L,2,4,8,WDDWW,LWLWL,11,6,0,0,0,0,0,0,0,0,0.75,0.5,0.875,0.625,-2,1.8,3.1,5,1.8,3.1,3.8,1.67,3.25,4.5,1.8,3.1,4,#N/A
742,10/2004,10/2004,Manchester United,Middlesbrough,10/2004 Manchester United Middlesbrough,1,1,NH,8,11,6,11,1.5,1.25,W,W,D,D,D,L,L,W,W,W,3,11,8,WWDDD,LLWWW,9,9,0,0,0,0,1,0,0,0,0.25,0,0.25,0,-8,1.4,4,9,1.35,4,7,1.36,3.75,8,1.36,3.75,8,#N/A
743,10/2004,10/2004,Crystal Palace,Fulham,10/2004 Crystal Palace Fulham,2,0,H,6,8,14,11,0.25,1,D,L,L,L,L,W,D,L,L,L,18,9,8,DLLLL,WDLLL,1,4,0,0,1,0,0,0,1,0,-1,-0.375,-0.75,-0.375,9,2.62,3.2,2.6,2.7,3,2.3,2.75,3.2,2.25,2.6,3.1,2.4,#N/A
744,10/2004,10/2004,Arsenal,Aston Villa,10/2004 Arsenal Aston Villa,3,1,H,22,8,7,7,2.375,1.25,W,D,W,W,W,D,D,D,W,L,1,6,8,WDWWW,DDDWL,13,6,1,0,0,0,0,0,0,0,1.875,0.125,1.125,0.875,-5,1.3,5,9.5,1.33,4,7.5,1.25,4.5,10,1.28,4.33,8.5,#N/A
745,10/2004,10/2004,Birmingham,Manchester United,10/2004 Birmingham Manchester United,0,0,NH,7,9,9,7,0.7777777778,1.444444444,D,D,D,L,L,D,W,W,D,D,10,3,9,DDDLL,DWWDD,3,9,0,0,0,0,0,0,0,0,-0.2222222222,0.2222222222,-0.6666666667,-0.6666666667,7,5.5,3.2,1.72,4,3.2,1.75,4.33,3.2,1.73,4,3,1.83,#N/A
746,10/2004,10/2004,Blackburn,Middlesbrough,10/2004 Blackburn Middlesbrough,0,4,NH,7,12,14,12,0.6666666667,1.222222222,D,L,W,L,D,D,L,L,W,W,15,11,9,DLWLD,DLLWW,5,7,0,0,0,0,0,0,0,0,-0.7777777778,0,-0.5555555556,-0.2222222222,4,2.5,3.2,2.75,2.5,3,2.5,2.38,3.2,2.6,2.5,2.9,2.62,#N/A
747,10/2004,10/2004,Bolton,Crystal Palace,10/2004 Bolton Crystal Palace,1,0,H,13,8,11,14,1.333333333,0.5555555556,L,D,D,D,W,W,D,L,L,L,8,18,9,LDDDW,WDLLL,6,4,0,0,0,0,0,0,1,0,0.2222222222,-0.6666666667,0.7777777778,0.2222222222,-10,1.61,3.6,5.5,1.6,3.4,4.6,1.57,3.5,5,1.61,3.3,5,#N/A
748,10/2004,10/2004,Everton,Southampton,10/2004 Everton Southampton,1,0,H,9,6,7,11,1.777777778,0.5555555556,L,W,W,W,D,D,L,L,D,L,17,12,9,LWWWD,DLLDL,10,2,0,0,0,0,0,0,0,0,0.2222222222,-0.5555555556,1.222222222,0.8888888889,5,1.72,3.4,5,1.7,3.2,4.2,1.73,3.2,4.33,1.7,3.2,4.5,#N/A
749,10/2004,10/2004,Fulham,Liverpool,10/2004 Fulham Liverpool,2,4,NH,8,14,13,8,0.8888888889,1.444444444,L,W,D,L,L,W,L,W,L,W,9,4,9,LWDLL,WLWLW,4,9,0,0,0,0,0,0,0,0,-0.5555555556,0.6666666667,-0.5555555556,-0.5555555556,5,3.4,3.25,2.1,3.1,3,2.1,3,3.2,2.1,3.1,3,2.15,#N/A
750,10/2004,10/2004,Manchester City,Chelsea,10/2004 Manchester City Chelsea,1,0,H,8,8,7,1,0.8888888889,2.222222222,D,L,W,L,W,W,W,D,D,W,16,2,9,DLWLW,WWDDW,7,11,0,0,0,0,0,0,0,0,0.1111111111,0.7777777778,-1.333333333,-0.4444444444,14,5.5,3.2,1.72,4.4,3.3,1.65,4.5,3.5,1.62,4.5,3.3,1.66,#N/A
751,10/2004,10/2004,West Brom,Norwich,10/2004 West Brom Norwich,0,0,NH,8,7,13,14,0.7777777778,0.5555555556,W,L,D,L,L,D,L,D,D,L,18,18,9,WLDLL,DLDDL,4,3,0,0,0,0,0,0,0,0,-0.5555555556,-0.7777777778,0.2222222222,0.1111111111,0,2.1,3.25,3.4,1.9,3.1,3.5,2.1,3.2,3,2.1,3,3.2,#N/A
752,10/2004,10/2004,Charlton,Newcastle United,10/2004 Charlton Newcastle United,1,1,NH,8,16,14,13,1.222222222,1.333333333,L,W,D,D,L,D,W,W,W,L,7,5,9,LWDDL,DWWWL,5,10,0,0,0,0,0,0,0,0,-0.6666666667,0.3333333333,-0.1111111111,-0.5555555556,2,2.75,3.2,2.5,2.5,3,2.5,2.5,3.2,2.5,2.62,2.9,2.5,#N/A
753,10/2004,10/2004,Portsmouth,Tottenham Hotspur,10/2004 Portsmouth Tottenham Hotspur,1,0,H,12,5,11,3,1.222222222,1.444444444,W,D,L,L,W,W,L,D,D,W,13,15,9,WDLLW,WLDDW,7,8,0,0,0,0,0,0,0,0,0.1111111111,0.2222222222,-0.2222222222,-0.1111111111,-2,2.6,3.2,2.62,2.5,3,2.5,2.6,3.2,2.38,2.4,3.1,2.6,#N/A
754,10/2004,10/2004,Aston Villa,Fulham,10/2004 Aston Villa Fulham,2,0,H,10,8,9,13,1.222222222,0.8888888889,D,D,D,D,W,L,W,D,L,L,6,9,9,DDDDW,LWDLL,7,4,0,0,0,0,0,0,0,0,0.1111111111,-0.5555555556,0.3333333333,0.3333333333,-3,1.8,3.3,4.5,1.75,3.2,4,1.67,3.25,4.5,1.83,3,4,#N/A
755,10/2004,10/2004,Chelsea,Blackburn,10/2004 Chelsea Blackburn,4,0,H,8,7,2,18,2,0.6,L,W,W,D,D,L,D,L,W,L,2,15,10,LWWDD,LDLWL,8,4,0,0,0,0,0,0,0,0,0.6,-1.1,1.4,0.4,-13,1.28,5,10,1.35,4,7,1.25,4.5,10,1.28,4.33,8.5,#N/A
756,10/2004,10/2004,Crystal Palace,West Brom,10/2004 Crystal Palace West Brom,3,0,H,8,8,15,13,0.5,0.8,L,W,D,L,L,D,W,L,D,L,18,18,10,LWDLL,DWLDL,4,5,0,0,0,0,0,0,0,0,-0.7,-0.5,-0.3,-0.1,0,2.3,3.25,3,2.3,2.9,2.8,2.1,3.2,3,2.25,3,2.87,#N/A
757,10/2004,10/2004,Liverpool,Charlton,10/2004 Liverpool Charlton,2,0,H,16,9,8,15,1.6,1.2,W,W,L,W,L,D,L,W,D,D,4,7,10,WWLWL,DLWDD,9,6,0,0,0,0,0,0,0,0,0.8,-0.6,0.4,0.3,-3,1.5,3.6,7.5,1.5,3.7,5,1.44,3.6,6.5,1.44,3.6,6.5,#N/A
