	Season	HomeTeam	AwayTeam	Sentence	Allocation
270	14/15	Arsenal	Tottenham Hotspur	team has dismal record in fixture tottenham lost on their past four visits to emirates stadium his team 's dismal record is in fixture arsene wenger smarting from 2-1 capital one cup defeat by southampton in midweek	Arsenal
271	14/15	Arsenal	Tottenham Hotspur	team has dismal record in fixture mauricio pochettino heads aiming mauricio pochettino heads tottenham having tottenham lost on their past four visits tottenham lost on their past four visits to emirates stadium mauricio pochettino heads into his north london derby his team 's dismal record is in fixture mauricio pochettino heads into his first north london derby his 12th spurs counterpart undefeated in league his different spurs counterpart undefeated in league his spurs counterpart undefeated in league his 12th different spurs counterpart undefeated in league	Tottenham Hotspur
272	14/15	Chelsea	Aston Villa	this been intriguing his players will arrive recovered paul lambert 's squad had had affected by virus before loss paul lambert 's squad had had affected by virus paul lambert 's squad had had affected before loss paul lambert has squad paul lambert 's squad had had affected by virus before loss of season paul lambert 's squad had had affected by virus before loss with diego costa fit paul lambert 's squad had had affected before loss with diego costa fit paul lambert 's squad had had affected by virus with diego costa fit paul lambert 's squad had had affected with diego costa fit paul lambert 's squad had had affected before loss of season paul lambert 's squad had had affected paul lambert 's squad had had affected before first loss with diego costa fit paul lambert 's squad had had affected by virus before first loss paul lambert 's squad competing with chelsea paul lambert 's squad had had affected before first loss of season paul lambert 's squad had had affected before first loss paul lambert 's squad had had affected by virus before first loss of season leaders have lost one league game they remaining clear of pack they will will confident they remaining clear	Chelsea
273	14/15	Chelsea	Aston Villa	this been intriguing his players will arrive recovered paul lambert 's squad had had affected by virus before loss paul lambert 's squad had had affected by virus paul lambert 's squad had had affected before loss paul lambert has squad paul lambert 's squad had had affected by virus before loss of season paul lambert 's squad had had affected before loss of season paul lambert 's squad had had affected paul lambert 's squad had had affected by virus before first loss paul lambert 's squad had had affected before first loss of season paul lambert 's squad had had affected before first loss paul lambert 's squad had had affected by virus before first loss of season leaders have lost one league game they remaining clear of pack they will will confident they remaining clear	Aston Villa
274	14/15	Crystal Palace	Leicester City	palace were for clubs beaten in capital one cup by newcastle in midweek it been curious palace were for clubs beaten in capital one cup palace were for clubs beaten in midweek palace were beaten by newcastle in midweek palace were for clubs beaten in capital one cup in midweek palace were beaten by newcastle palace were beaten in midweek palace were for clubs beaten in capital one cup by newcastle palace were beaten in capital one cup by newcastle palace were beaten palace were for clubs beaten by newcastle palace were beaten in capital one cup by newcastle in midweek palace were beaten for clubs palace were for clubs beaten by newcastle in midweek palace were beaten in capital one cup in midweek palace were beaten in capital one cup it is results in matches like these it is results in matches it is results	Crystal Palace
275	14/15	Crystal Palace	Leicester City	it been curious leicester because of astonishing comeback against manchester united it is results in matches like these it is results in matches it is results	Leicester City
276	14/15	Hull City	Manchester City	hull are definition of mid-table they have goal difference of zero hull are definition 10th they are 10th they have goal difference hull are definition their manager claimed at_time week their manager claimed after their capital one cup defeat their manager steve bruce their manager claimed after their capital one cup defeat against west brom they will back up statement they will certainly back up statement	Hull City
277	14/15	Hull City	Manchester City	they have goal difference of zero they are 10th they have goal difference their manager claimed at_time week their manager claimed after their capital one cup defeat their manager claimed after their capital one cup defeat against west brom they will back up statement they beat manchester city they will certainly back up statement	Manchester City
278	14/15	Liverpool	Everton	it is 15 years to day it is 15 years liverpool is need opponent is need last season has form liverpool is just need open opponent is just need open error-prone opponent is just need opponent is just need open error-prone opponent is need error-prone opponent is just need they rediscover last season 's form they rediscover season 's form error-prone opponent is need open opponent is need	Liverpool
279	14/15	Liverpool	Everton	it is 15 years to day it is 15 years opponent is need last season has form open opponent is just need open error-prone opponent is just need opponent is just need open error-prone opponent is need error-prone opponent is just need they rediscover last season 's form they rediscover season 's form error-prone opponent is need open opponent is need	Everton
280	14/15	Manchester United	West Ham United	figures frighten very best of managers figures frighten very best he seeks refuge figures frighten best figures frighten best of managers manchester united from dismal start points is count from manchester united 's start five points is count five points is count from manchester united 's dismal start points is count five points is count from manchester united 's start points is count from manchester united 's dismal start nine is tally of players nine is tally nine is tally of players injured 3-1 was scoreline number three can can enjoyed number three can can again enjoyed number can desperately can enjoyed number can desperately can again enjoyed number three can desperately can enjoyed number can can enjoyed number can can again enjoyed number three can desperately can again enjoyed	Manchester United
281	14/15	Manchester United	West Ham United	figures frighten very best of managers figures frighten very best he seeks refuge figures frighten best figures frighten best of managers five points is count points is count nine is tally of players nine is tally nine is tally of players injured 3-1 was scoreline west ham dismantled out liverpool number three can can enjoyed number three can can again enjoyed number can desperately can enjoyed number can desperately can again enjoyed number three can desperately can enjoyed number can can enjoyed number can can again enjoyed number three can desperately can again enjoyed	West Ham United
282	14/15	Southampton	Queens Park Rangers	swansea blinked in headlights aston villa have been at_time season aston villa have been there at_time season swansea have been at_time season swansea have been there at_time season southampton will fancy their chances staying southampton however will fancy their chances staying ronald koeman has side ronald koeman 's side won at arsenal ronald koeman 's side won on tuesday ronald koeman 's side won in capital one cup	Southampton
283	14/15	Southampton	Queens Park Rangers	swansea blinked in headlights aston villa have been at_time season aston villa have been there at_time season swansea have been at_time season swansea have been there at_time season	Queens Park Rangers
284	14/15	Sunderland	Swansea City	sunderland drawing four of their five league games their manager is desperate sunderland drawing four their first five league games their manager is desperate for win sunderland drawing four of their first five league games supporters are underwhelmed sunderland drawing four their five league games i need big players i need big players i need players i need big big players he drop former manchester city pair adam johnson he drop jack rodwell i 'm going have it 's close to moment decisions stronger bit	Sunderland
285	14/15	Sunderland	Swansea City	their manager is desperate their manager is desperate for win supporters are underwhelmed i need big players i need big players i need players i need big big players i 'm going have it 's close to moment decisions stronger bit wilfried bony by return	Swansea City
286	14/15	West Brom	Burnley	lead wondered into their return lead wondered into their top-flight return lead wondered at_time 14 minutes	West Brom
287	14/15	West Brom	Burnley	lead wondered into their return lead wondered into their top-flight return turf moor faithful wondered at_time 14 minutes lead wondered at_time 14 minutes scott arfield gave burnley turf moor faithful wondered into their top-flight return turf moor faithful wondered into their return burnley has last three games	Burnley
288	14/15	Stoke City	Newcastle United	extra recovery time aid his trio of papiss cisse recovery time aid his sickly trio of papiss cisse extra recovery time aid his trio extra recovery time aid his sickly trio recovery time aid his trio extra recovery time aid his sickly trio of papiss cisse recovery time aid his trio of papiss cisse recovery time aid his sickly trio cisse has two goals against hull stoke solid have lost their home league games stoke have lost their home league games	Stoke City
289	14/15	Stoke City	Newcastle United	extra recovery time aid his trio of papiss cisse recovery time aid his sickly trio of papiss cisse extra recovery time aid his trio extra recovery time aid his sickly trio recovery time aid his trio extra recovery time aid his sickly trio of papiss cisse recovery time aid his trio of papiss cisse recovery time aid his sickly trio cisse has two goals against hull newcastle manager has job	Newcastle United
290	14/15	Aston Villa	Manchester City	aston villa 's momentum has has checked aston villa has momentum champions feeling after disappointment of their 1-1 draw in champions league champions feeling after disappointment of their 1-1 draw in champions league on tuesday paul lambert 's side won fixture at_time season champions feeling after disappointment of their 1-1 draw with roma on tuesday paul lambert has side paul lambert 's side won fixture champions feeling after disappointment of their 1-1 draw on tuesday paul lambert 's side won fixture at_time last season their 1-1 draw is in champions league champions feeling after disappointment champions feeling after disappointment of their 1-1 draw with roma their 1-1 draw is with roma champions feeling sore champions feeling after disappointment of their 1-1 draw with roma in champions league champions feeling after disappointment of their 1-1 draw with roma in champions league on tuesday champions feeling after disappointment of their 1-1 draw	Aston Villa
291	14/15	Aston Villa	Manchester City	champions feeling after disappointment of their 1-1 draw in champions league champions feeling after disappointment of their 1-1 draw in champions league on tuesday paul lambert 's side won fixture at_time season champions feeling after disappointment of their 1-1 draw with roma on tuesday paul lambert has side paul lambert 's side won fixture champions feeling after disappointment of their 1-1 draw on tuesday paul lambert 's side won fixture at_time last season their 1-1 draw is in champions league champions feeling after disappointment champions feeling after disappointment of their 1-1 draw with roma their 1-1 draw is with roma champions feeling sore champions feeling after disappointment of their 1-1 draw with roma in champions league champions feeling after disappointment of their 1-1 draw with roma in champions league on tuesday champions feeling after disappointment of their 1-1 draw manuel pellegrini will back his forwards manuel pellegrini produce goods	Manchester City
292	14/15	Hull City	Crystal Palace	warnock continue run warnock be will keen warnock continue run of form steve bruce 's hull score goals steve bruce has hull	Hull City
293	14/15	Hull City	Crystal Palace	neil warnock has crystal palace neil warnock 's crystal palace are unbeaten neil warnock 's crystal palace are still unbeaten neil warnock 's crystal palace are still unbeaten season under his management neil warnock 's crystal palace are still unbeaten at_time season neil warnock 's crystal palace are still unbeaten under his management neil warnock 's crystal palace are unbeaten season under his management neil warnock 's crystal palace are unbeaten under his management neil warnock 's crystal palace are unbeaten at_time season warnock continue run warnock be will keen warnock continue run of form	Crystal Palace
294	14/15	Leicester City	Burnley	it difficult in opening stages of their return to premier league it very difficult in opening stages of their return it difficult in opening stages it difficult in opening stages of their return it very difficult in opening stages it very difficult in opening stages of their return to premier league their new striker ulloa provide difference he has done their striker ulloa provide difference he has done season their new striker ulloa again provide difference he has done their in-form striker ulloa again provide difference he has done often their new striker ulloa again provide difference he has done season their striker ulloa again provide difference he has done so often season their in-form striker ulloa provide difference he has done their in-form striker ulloa again provide difference he has done season their striker ulloa provide difference he has done often their in-form striker ulloa provide difference he has done so often he has done at_time season their in-form new striker ulloa again provide difference he has done so often season their in-form striker ulloa again provide difference he has done so often their new striker ulloa again provide difference he has done often season their in-form striker ulloa provide difference he has done so often season their striker ulloa provide difference their in-form new striker ulloa again provide difference he has done their in-form new striker ulloa again provide difference he has done so often their in-form new striker ulloa provide difference their in-form striker ulloa again provide difference he has done their new striker ulloa again provide difference he has done often their in-form striker ulloa again provide difference he has done often season he has done so often at_time season their in-form new striker ulloa provide difference he has done their in-form new striker ulloa provide difference he has done so often season their new striker ulloa provide difference their new striker ulloa provide difference he has done so often their striker ulloa again provide difference their in-form new striker ulloa again provide difference he has done season their in-form new striker ulloa provide difference he has done season their in-form striker ulloa provide difference he has done often season their in-form new striker ulloa again provide difference he has done often their in-form new striker ulloa provide difference he has done often season their new striker ulloa again provide difference he has done so often their striker ulloa again provide difference he has done season their striker ulloa again provide difference he has done so often their in-form striker ulloa again provide difference he has done so often season their new striker ulloa again provide difference he has done so often season their new striker ulloa provide difference he has done so often season their striker ulloa provide difference he has done so often season their striker ulloa again provide difference he has done often their striker ulloa again provide difference he has done often season their in-form striker ulloa provide difference he has done season their new striker ulloa provide difference he has done often season their in-form striker ulloa provide difference their in-form new striker ulloa provide difference he has done so often their striker ulloa again provide difference he has done their in-form new striker ulloa again provide difference their striker ulloa provide difference he has done often season their new striker ulloa provide difference he has done season their new striker ulloa provide difference he has done often their in-form new striker ulloa again provide difference he has done often season he has done often at_time season their striker ulloa provide difference he has done their in-form new striker ulloa provide difference he has done often their new striker ulloa again provide difference their in-form striker ulloa provide difference he has done often their in-form striker ulloa again provide difference their striker ulloa provide difference he has done so often	Leicester City
295	14/15	Leicester City	Burnley	it difficult in opening stages of their return to premier league it very difficult in opening stages of their return it difficult in opening stages it difficult in opening stages of their return it very difficult in opening stages it very difficult in opening stages of their return to premier league their new striker ulloa provide difference he has done their striker ulloa provide difference he has done season their new striker ulloa again provide difference he has done their in-form striker ulloa again provide difference he has done often their new striker ulloa again provide difference he has done season their striker ulloa again provide difference he has done so often season their in-form striker ulloa provide difference he has done their in-form striker ulloa again provide difference he has done season their striker ulloa provide difference he has done often their in-form striker ulloa provide difference he has done so often he has done at_time season their in-form new striker ulloa again provide difference he has done so often season their in-form striker ulloa again provide difference he has done so often their new striker ulloa again provide difference he has done often season their in-form striker ulloa provide difference he has done so often season their striker ulloa provide difference their in-form new striker ulloa again provide difference he has done their in-form new striker ulloa again provide difference he has done so often their in-form new striker ulloa provide difference their in-form striker ulloa again provide difference he has done their new striker ulloa again provide difference he has done often their in-form striker ulloa again provide difference he has done often season he has done so often at_time season their in-form new striker ulloa provide difference he has done their in-form new striker ulloa provide difference he has done so often season their new striker ulloa provide difference their new striker ulloa provide difference he has done so often their striker ulloa again provide difference their in-form new striker ulloa again provide difference he has done season their in-form new striker ulloa provide difference he has done season their in-form striker ulloa provide difference he has done often season their in-form new striker ulloa again provide difference he has done often their in-form new striker ulloa provide difference he has done often season their new striker ulloa again provide difference he has done so often their striker ulloa again provide difference he has done season their striker ulloa again provide difference he has done so often their in-form striker ulloa again provide difference he has done so often season their new striker ulloa again provide difference he has done so often season their new striker ulloa provide difference he has done so often season their striker ulloa provide difference he has done so often season their striker ulloa again provide difference he has done often their striker ulloa again provide difference he has done often season their in-form striker ulloa provide difference he has done season their new striker ulloa provide difference he has done often season their in-form striker ulloa provide difference their in-form new striker ulloa provide difference he has done so often their striker ulloa again provide difference he has done their in-form new striker ulloa again provide difference their striker ulloa provide difference he has done often season their new striker ulloa provide difference he has done season their new striker ulloa provide difference he has done often their in-form new striker ulloa again provide difference he has done often season he has done often at_time season their striker ulloa provide difference he has done their in-form new striker ulloa provide difference he has done often their new striker ulloa again provide difference their in-form striker ulloa provide difference he has done often their in-form striker ulloa again provide difference their striker ulloa provide difference he has done so often burnley are desperate burnley are desperate for goals burnley are however desperate burnley however are desperate for goals	Burnley
296	14/15	Liverpool	West Brom	brendan rodgers made remarks losing to basel in midweek in champions league brendan rodgers made remarks about mario balotelli 's performances brendan rodgers made remarks losing away in midweek in champions league brendan rodgers losing away to basel brendan rodgers made remarks losing away to basel brendan rodgers made remarks brendan rodgers losing away in midweek in champions league brendan rodgers made remarks losing away to basel in midweek in champions league brendan rodgers made remarks losing away brendan rodgers made remarks losing away in midweek brendan rodgers made remarks losing to basel in midweek brendan rodgers losing to basel mario balotelli about recent performances brendan rodgers made remarks losing brendan rodgers made remarks losing away to basel in midweek brendan rodgers made remarks losing in midweek brendan rodgers made disparaging remarks brendan rodgers made disparaging remarks about mario balotelli 's performances brendan rodgers losing away in midweek brendan rodgers made remarks about mario balotelli 's recent performances brendan rodgers losing in midweek brendan rodgers made disparaging remarks about mario balotelli 's recent performances brendan rodgers losing in midweek in champions league brendan rodgers made remarks losing in midweek in champions league brendan rodgers made remarks losing to basel you can can sure liverpool around recent run of poor form	Liverpool
297	14/15	Liverpool	West Brom		West Brom
298	14/15	Sunderland	Stoke City	attention focuses on alan pardew 's travails up road attention focuses on alan pardew 's travails alan pardew on travails up road at newcastle it has almost gone attention focuses on alan pardew 's travails up road at newcastle it has almost gone attention focuses on alan pardew 's travails it has almost gone attention focuses on alan pardew 's travails up road it has gone attention focuses on alan pardew 's travails up road attention focuses on alan pardew 's travails up road at newcastle it has gone attention focuses on alan pardew 's travails sunderland win league game it has gone unnoticed it has almost gone attention focuses it has gone attention focuses on alan pardew 's travails up road at newcastle sunderland win league game at_time season it has almost gone unnoticed it has gone attention focuses gus poyet 's side anxious cast covetous glances gus poyet 's side doubly anxious atone gus poyet 's side anxious is likely gus poyet has side gus poyet 's side anxious atone gus poyet 's side anxious cast glances at lee cattermole gus poyet 's side anxious cast glances	Sunderland
299	14/15	Sunderland	Stoke City	attention focuses on alan pardew 's travails up road attention focuses on alan pardew 's travails alan pardew on travails up road at newcastle it has almost gone attention focuses on alan pardew 's travails up road at newcastle it has almost gone attention focuses on alan pardew 's travails it has almost gone attention focuses on alan pardew 's travails up road it has gone attention focuses on alan pardew 's travails up road attention focuses on alan pardew 's travails up road at newcastle it has gone attention focuses on alan pardew 's travails it has gone unnoticed it has almost gone attention focuses it has gone attention focuses on alan pardew 's travails up road at newcastle it has almost gone unnoticed it has gone attention focuses gus poyet 's side anxious cast covetous glances gus poyet 's side atone for stoke 's 2-1 league cup gus poyet 's side anxious atone for stoke 's recent 2-1 league cup gus poyet 's side doubly anxious atone for stoke 's recent 2-1 league cup gus poyet 's side doubly anxious atone gus poyet 's side anxious is likely gus poyet 's side doubly anxious atone for stoke 's 2-1 league cup gus poyet has side gus poyet 's side anxious atone stoke for recent 2-1 league cup gus poyet 's side atone for stoke 's recent 2-1 league cup gus poyet 's side anxious cast glances gus poyet 's side anxious atone for stoke 's 2-1 league cup	Stoke City
300	14/15	Swansea City	Newcastle United	it look past swansea side it considering turmoil it is difficult it look past solid swansea side	Swansea City
301	14/15	Swansea City	Newcastle United	it considering turmoil it is difficult	Newcastle United
302	14/15	Chelsea	Arsenal	he confronts his former club arsene wenger defeat jose mourinho side team were thrashed 6-0 arsene wenger defeat jose mourinho side in 11 meetings arsene wenger defeat jose mourinho side in 11 previous meetings corresponding fixture is in manager 's 1,000 game manager 's 1,000 game is in charge manager in 1,000 game in charge division between two remaining unbeaten teams it be timely it would would occasion it would would timely occasion	Chelsea
303	14/15	Chelsea	Arsenal	he confronts his former club arsene wenger defeat jose mourinho side team were thrashed 6-0 arsene wenger defeat jose mourinho side in 11 meetings arsene wenger defeat jose mourinho side in 11 previous meetings corresponding fixture is in manager 's 1,000 game manager 's 1,000 game is in charge manager in 1,000 game in charge division between two remaining unbeaten teams it be timely it would would occasion it would would timely occasion wenger break duck	Arsenal
304	14/15	Manchester United	Everton	louis van gaal end sunday 's visit louis van gaal end sunday 's visit of everton wayne rooney misses outing as opening match juan mata take captain 's no10 captain has no10 wayne rooney misses outing wayne rooney misses outing as opening match of his three-game suspension wayne rooney misses outing as opening match of his suspension russia to fk krasnodar	Manchester United
305	14/15	Manchester United	Everton	sunday has visit of everton captain has no10 everton returned to shores everton returned at_time am russia to fk krasnodar everton returned from their europa league trip to russia 's fk krasnodar everton returned from their europa league trip everton returned at_time am on friday everton returned at 3	Everton
306	14/15	Tottenham Hotspur	Southampton	pochettino will welcome his former team pochettino will welcome better his former team they are in moreover tactical groove they are in groove they are in moreover groove they are tactical they are in tactical groove it could could afternoon for argentinian it be uncomfortable it could could afternoon it could could uncomfortable afternoon it could could uncomfortable afternoon for argentinian	Tottenham Hotspur
307	14/15	Tottenham Hotspur	Southampton	they are in moreover tactical groove they are in groove they are in tactical groove under ronald koeman they are in moreover groove they are in moreover tactical groove under ronald koeman they are in moreover groove under ronald koeman they are in groove under ronald koeman they are tactical they are in tactical groove it could could afternoon for argentinian it be uncomfortable it could could afternoon it could could uncomfortable afternoon it could could uncomfortable afternoon for argentinian	Southampton
308	14/15	West Ham United	Queens Park Rangers	harry redknapp 's autumn tour reaches its stop harry redknapp 's autumn tour reaches its final stop he will hope for improvement harry redknapp has autumn tour of old haunts harry redknapp 's autumn tour reaches its stop at upton park harry redknapp 's autumn tour reaches its final stop at upton park he will hope for improvement on defeats	West Ham United
309	14/15	West Ham United	Queens Park Rangers	harry redknapp 's autumn tour reaches its stop harry redknapp 's autumn tour reaches its final stop he will hope for improvement harry redknapp has autumn tour of old haunts harry redknapp 's autumn tour reaches its stop at upton park harry redknapp 's autumn tour reaches its final stop at upton park he will hope for improvement on defeats his qpr team suffered at spurs	Queens Park Rangers
310	14/15	Arsenal	Hull City	arsenal be hit nacho monreal fill in at centre nacho monreal fill in back at centre arsenal be hit mesut ozil faces arsenal continue leaving nacho monreal arsenal be hit now mesut ozil faces arsenal continue is sidelined arsenal be hit by serious injuries arsenal be hit by injuries arsene wenger by woes hull be will buoyed by arsene wenger 's woes wenger will will confident wenger will will still confident	Arsenal
311	14/15	Arsenal	Hull City	long lay off with knee injury hull want build on their first home win of season hull want build on their home win hull want build on their first home win of season in their last outing hull want build on their home win in their outing hull want build on their home win of season in their last outing hull want build on their home win in their last outing hull want build on their first home win in their last outing hull want build on their first home win hull want build on their first home win of season in their outing hull be will buoyed by arsene wenger 's woes hull want build on their home hull want build on their home win of season in their outing hull want build hull be will buoyed hull want build on their first home hull want build on their first home win in their outing hull want build on their home win of season	Hull City
312	14/15	Burnley	West Ham United	burnley finally ended run before international break burnley ended run of 10 hours burnley finally ended run before break their 2-2 draw is with leicester burnley finally ended run goal is in their 2-2 draw with leicester burnley finally ended club-record run burnley finally ended run of 10 hours burnley finally ended club-record run of 10 hours danny ings scorer at_time last season burnley ended run danny ings scorer of 26 goals burnley ended club-record run burnley ended run before break burnley ended club-record run of 10 hours burnley ended run before international break	Burnley
313	14/15	Burnley	West Ham United	their 2-2 draw is with leicester goal is in their 2-2 draw with leicester	West Ham United
314	14/15	Crystal Palace	Chelsea		Crystal Palace
315	14/15	Crystal Palace	Chelsea	chelsea 's inability courtesy of john terry own goal back in spring chelsea has inability win last season chelsea 's inability is palace winning courtesy of john terry own goal back in spring start	Chelsea
316	14/15	Everton	Aston Villa	everton revive their season statistics are anything	Everton
317	14/15	Everton	Aston Villa	aston villa have faltered after impressive start aston villa have faltered after start aston villa suffering three defeats aston villa suffering three straight defeats statistics are anything	Aston Villa
318	14/15	Manchester City	Tottenham Hotspur	vintage are different yaya toure well have start despite tuesday 's trip for vital champions league match against cska moscow yaya toure well have start despite tuesday 's trip to russia for champions league match against cska moscow yaya toure well have start despite tuesday 's trip to russia for champions league match yaya toure well have start despite tuesday 's trip yaya toure have start despite tuesday 's trip to russia yaya toure have start despite tuesday 's trip for champions league match against cska moscow yaya toure well have start despite tuesday 's trip to russia yaya toure have start despite tuesday 's trip to russia for champions league match against cska moscow yaya toure well have start despite tuesday 's trip to russia for vital champions league match yaya toure have start despite tuesday 's trip for vital champions league match against cska moscow yaya toure have start despite tuesday 's trip for vital champions league match yaya toure have start despite tuesday 's trip to russia for vital champions league match yaya toure well have start yaya toure well have start despite tuesday 's trip for champions league match against cska moscow yaya toure have start despite tuesday 's trip to russia for champions league match yaya toure well have start despite tuesday 's trip for champions league match yaya toure have start despite tuesday 's trip to russia for vital champions league match against cska moscow yaya toure well have start despite tuesday 's trip to russia for vital champions league match against cska moscow yaya toure have start despite tuesday 's trip yaya toure have start yaya toure well have start despite tuesday 's trip for vital champions league match yaya toure have start despite tuesday 's trip for champions league match tuesday despite trip to russia for vital champions league match against cska moscow	Manchester City
319	14/15	Manchester City	Tottenham Hotspur	year 's spurs vintage are different proposition following arrival of mauricio pochettino year 's spurs vintage are different proposition following arrival vintage are different year 's spurs vintage are proposition following arrival of mauricio pochettino year 's spurs vintage are proposition year 's spurs vintage are proposition following arrival year 's spurs vintage are different proposition year has spurs vintage tuesday despite trip to russia for vital champions league match against cska moscow	Tottenham Hotspur
320	14/15	Newcastle United	Leicester City	alan pardew has 700th game as manager his newcastle united side seeking their premier league victory of season his newcastle united side seeking their first premier league victory club has owner mike ashley his newcastle united side seeking their premier league victory his newcastle united side seeking their first premier league victory of season	Newcastle United
321	14/15	Newcastle United	Leicester City	alan pardew has 700th game as manager leicester has promising start nigel pearson will will anxious he extend leicester 's promising start he extend leicester 's start	Leicester City
322	14/15	Southampton	Sunderland	sadio mane is in contention their key players returned without injury encouraging runs be heartened runs be heartened their players returned without injury dusan tadic will will pressed dusan tadic will with sadio mane will pressed dusan tadic will with sadio mane will hard pressed southampton is in premier league dusan tadic will will hard pressed	Southampton
323	14/15	Southampton	Sunderland	their key players returned without injury encouraging runs be heartened runs be heartened their players returned without injury sunderland maintain their record sunderland maintain their defensive record	Sunderland
324	14/15	Queens Park Rangers	Liverpool		Queens Park Rangers
325	14/15	Queens Park Rangers	Liverpool	liverpool will have one eye daniel sturridge by return from injury liverpool have have boosted raheem sterling has point prove after nonsense raheem sterling point prove raheem sterling has point prove liverpool have have boosted by daniel sturridge 's return raheem sterling has point prove after nonsense of past week raheem sterling point prove after nonsense of past week raheem sterling point prove after nonsense liverpool have have boosted by daniel sturridge 's return from injury	Liverpool
326	14/15	Stoke City	Swansea City	they look for their first ever premier league win at britannia stadium they look for their ever premier league win at britannia stadium they look for their first premier league win they look for their first ever premier league win they look for their premier league win they look for their first premier league win at britannia stadium they look for their premier league win at britannia stadium they look for their ever premier league win monk 's number should have back victor moses monk has opposite number at stoke monk 's number should have back mame biram diouf monk 's opposite number should have back victor moses monk 's opposite number should have back mame biram diouf monk 's opposite number should have victor moses monk 's number should have mame biram diouf monk 's number should have victor moses monk 's opposite number should have mame biram diouf	Stoke City
327	14/15	Stoke City	Swansea City	garry monk has called they look for their ever premier league win at britannia stadium garry monk has called they look for their first premier league win they look for their first ever premier league win at britannia stadium they look for their ever premier league win at britannia stadium they look for their first premier league win garry monk has called they look for their first ever premier league win at britannia stadium they look for their first ever premier league win garry monk have belief garry monk has called they look for their ever premier league win they look for their premier league win garry monk has called they look for their first ever premier league win they look for their first premier league win at britannia stadium they look for their premier league win at britannia stadium garry monk has called they look for their premier league win at britannia stadium garry monk has called on his swansea city side garry monk has called they look for their first premier league win at britannia stadium they look for their ever premier league win garry monk has called they look garry monk has called they look for their premier league win monk has opposite number at stoke swansea 's manager make do swansea 's manager make do without midfielder jonjo shelvey swansea has manager	Swansea City
328	14/15	West Brom	Manchester United	monday evening kick-off is news for chris brunt monday evening kick-off is good news monday evening kick-off is news for west brom captain monday evening kick-off is good news for west brom captain it picked up on international duty monday evening kick-off is news monday evening kick-off is good news for chris brunt it picked up on duty albion manager has described brunt as delighted albion manager has described his team-mates chris baird albion manager has described brunt about their recent success with ireland albion manager has described brunt as absolutely delighted albion manager has described brunt about their success with northern ireland albion manager has described brunt about their success with ireland their recent success is with northern ireland albion manager has described brunt about their recent success with northern ireland albion manager has described brunt they carry that albion manager has described brunt about their recent success albion manager has described brunt about their success	West Brom
329	14/15	West Brom	Manchester United	monday evening kick-off is good news it picked up on international duty monday evening kick-off is news it picked up on duty albion manager has described his team-mates chris baird their recent success is with northern ireland they carry that	Manchester United
330	14/15	Liverpool	Hull City	mario balotelli enduring week of criticism mario balotelli enduring week after performances mario balotelli enduring week of criticism after below-par performances against qpr mario balotelli enduring week after performances against qpr mario balotelli enduring week after below-par performances against qpr mario balotelli enduring week after below-par performances mario balotelli enduring week of criticism after below-par performances mario balotelli enduring week mario balotelli enduring week of criticism after performances against qpr mario balotelli enduring week of criticism after performances liverpool in starting lineup mario balotelli should keep his place italian may may encouraged italian may may encouraged by fact	Liverpool
331	14/15	Liverpool	Hull City	hull have shipped 10 goals italian may may encouraged italian may may encouraged by fact	Hull City
332	14/15	Southampton	Stoke City	it would would understatement 8-0 win over sunderland his players maintain high standards challenge is ensure his players maintain standards challenge is for koeman	Southampton
333	14/15	Southampton	Stoke City	it would would understatement 8-0 win over sunderland his players maintain high standards challenge is ensure his players maintain standards	Stoke City
334	14/15	Sunderland	Arsenal		Sunderland
335	14/15	Sunderland	Arsenal	jack wilshere has suspension arsene wenger is without nine first-teamers including mesut ozil arsene wenger is without nine first-teamers	Arsenal
336	14/15	Swansea City	Leicester City	swansea are without now win in five draw was followed by wins at home draw was followed by wins at home to manchester united draw was followed draw was followed by wins to manchester united draw is with arsenal draw was followed by wins they score in their three games they score in their other three games they have failed score in their three games they have failed score in their other three games they have failed score sides are in need sides are in badly need sides are in badly need of win sides are in need of win sides are in badly need of morale-boosting win sides are in need of morale-boosting win	Swansea City
337	14/15	Swansea City	Leicester City	draw was followed by wins at home draw was followed by wins at home to manchester united leicester have struggled followed by wins draw was followed leicester have struggled followed by wins to manchester united draw was followed by wins to manchester united leicester have struggled followed by wins at home leicester have struggled followed by wins at home to manchester united leicester have struggled followed draw is with arsenal draw was followed by wins they score in their three games they score in their other three games they have failed score in their three games they have failed score in their other three games they have failed score sides are in need sides are in badly need sides are in badly need of win sides are in need of win sides are in badly need of morale-boosting win sides are in need of morale-boosting win	Leicester City
338	14/15	West Brom	Crystal Palace	west brom came desperately close daley blind point for visitors daley blind rescued point for visitors west brom came close daley blind rescued point optimism is building at hawthorns under alan irvine optimism is building at hawthorns	West Brom
339	14/15	West Brom	Crystal Palace	daley blind point for visitors daley blind rescued point for visitors daley blind rescued point optimism is building will cause crystal palace problems optimism is building will likely cause crystal palace problems neil warnock has team neil warnock 's team have lost their past two games	Crystal Palace
340	14/15	West Ham United	Manchester City	their champions league clash is with cska moscow west ham are capable west ham are as capable west ham has defence hammers have top strikers hammers have strikers of their own hammers have strikers in diafra sakho hammers top strikers of their own west ham 's defence been has excellent hammers have strikers hammers strikers of their own hammers have top strikers of their own fascinating contest is in store contest is in store	West Ham United
