	Season	HomeTeam	AwayTeam	Sentence	Allocation
304	14/15	Sunderland	Stoke City	attention focuses on alan pardew ' s it gone unnoticed sunderland have win this leaves poyet ' s side doubly anxious recent 2-1 league cup win whatever happens is poyet says ranks poyet ranks as his best piece of transfer business	Sunderland
305	14/15	Sunderland	Stoke City	attention focuses on alan pardew ' s it gone unnoticed this leaves poyet ' s side doubly anxious recent 2-1 league cup win whatever happens is mark hughes is likely poyet says ranks poyet ranks as his best piece of transfer business	Stoke City
306	14/15	Swansea City	Newcastle United	it is difficult who will aim capitalise alan pardew has lost the support he manages produce alan pardew be a glimmer	Swansea City
307	14/15	Swansea City	Newcastle United	it is difficult who will aim capitalise he manages produce	Newcastle United
308	14/15	Chelsea	Arsenal	the focus be drawn to cesc fabregas he confronts his former club he confronts his former club for the first time since returning to the premier league the onus make a positive impression this team were thrashed back in march this team were thrashed in the corresponding fixture back in march in the manager ' s 1,000th game in charge this team were thrashed in the corresponding fixture this team were thrashed in the manager ' s 1,000th game in charge this is a contest it be is	Chelsea
309	14/15	Chelsea	Arsenal	he confronts his former club he confronts his former club for the first time since returning to the premier league the onus is on arsenal the onus make a positive impression this team were thrashed back in march this team were thrashed in the corresponding fixture back in march in the manager ' s 1,000th game in charge this team were thrashed in the corresponding fixture this team were thrashed in the manager ' s 1,000th game in charge arsene wenger has defeat this is a contest it be is wenger break that duck	Arsenal
310	14/15	Manchester United	Everton	van gaal is looking end wayne rooney misses the outing as the opening match of his three-game suspension wayne rooney misses the outing juan mata is misses juan mata take captain ' s no10 berth his team are too tired	Manchester United
311	14/15	Manchester United	Everton	everton returned to these shores everton returned on friday everton returned at 3am everton returned from their europa league trip to russia ' s fk krasnodar everton returned to these shores at 3am on friday from their europa league trip to russia ' s fk krasnodar roberto martinez will hope are his team are too tired	Everton
312	14/15	Tottenham Hotspur	Southampton	this supposed happen mauricio pochettino swapped southampton mauricio pochettino swapped southampton for spurs and the south coast club pochettino will welcome his former team five points better pochettino will welcome his former team who are sitting in the table who are sitting second who are sitting second in the table they are instil it be an uncomfortable afternoon	Tottenham Hotspur
313	14/15	Tottenham Hotspur	Southampton	this supposed happen mauricio pochettino swapped southampton who are sitting in the table who are sitting second who are sitting second in the table they are instil it be an uncomfortable afternoon	Southampton
314	14/15	West Ham United	Queens Park Rangers	autumn tour reaches its final stop autumn tour reaches its final stop at upton park he will hope suffered they must find more goals with the second worst goalscoring record in the league they must find more goals they must find more goals too west ham been something west ham will fancy their chances	West Ham United
315	14/15	West Ham United	Queens Park Rangers	autumn tour reaches its final stop autumn tour reaches its final stop at upton park he will hope suffered his qpr team suffered at spurs and southampton rangers admits they must find more goals with the second worst goalscoring record in the league they must find more goals they must find more goals too	Queens Park Rangers
316	14/15	Arsenal	Hull City	arsenal continue hit mesut ozil faces a long lay laurent koscielny is sidelined leaving hull be buoyed by arsene wenger ' s woes wenger be confident gunners ' superior attacking force can secure a much needed victory	Arsenal
317	14/15	Arsenal	Hull City	mesut ozil faces a long lay hull be buoyed by arsene wenger ' s woes hull will want build	Hull City
318	14/15	Burnley	West Ham United	burnley ended a club-record run without a goal in their 2-2 draw with leicester burnley ended a club-record run burnley ended a club-record run finally now danny ings could return from injury the international break could return from injury	Burnley
319	14/15	Burnley	West Ham United	the international break could return from injury	West Ham United
320	14/15	Crystal Palace	Chelsea	which cost them a league title palace winning courtesy palace start a five-match winning run that took them to safety	Crystal Palace
321	14/15	Crystal Palace	Chelsea	it was chelsea ' s inability which cost them a league title that took them to safety jose mourinho will take a squad jose mourinho steeled	Chelsea
322	14/15	Everton	Aston Villa	this be a chance everton revive their season with a win everton revive their season statistics are anything win are plenty roberto martinez face that rather roberto martinez face that win was are everton have beaten villa that everton have beaten villa everton have beaten villa since march 2006 everton have beaten villa at goodison park everton have beaten villa in the top flight	Everton
323	14/15	Everton	Aston Villa	aston villa have faltered after an impressive start aston villa suffering straight defeats this be a chance statistics are anything win are plenty win was are everton have beaten villa that everton have beaten villa everton have beaten villa since march 2006 everton have beaten villa at goodison park everton have beaten villa in the top flight	Aston Villa
324	14/15	Manchester City	Tottenham Hotspur	manuel pellegrini insists are manuel pellegrini are a different proposition fade manchester city must beat the visitors really fade manchester city must beat the visitors fade manchester city maintain pressure yaya toure is in the match-day 18 yaya toure have start	Manchester City
325	14/15	Manchester City	Tottenham Hotspur	this year spurs vintage	Tottenham Hotspur
326	14/15	Newcastle United	Leicester City	"pardew ' s 700th game is a "" must win "" fixture his newcastle united side seeking their first premier league victory the club ' s owner is mike ashley the club ' s owner expected be pardew afford another slip pardew afford another slip in front of a potentially hostile home crowd who served as assistant manager at st james ' park under sam allardyce he seeks extend"	Newcastle United
327	14/15	Newcastle United	Leicester City	"pardew ' s 700th game is a "" must win "" fixture the club ' s owner expected be pardew afford another slip pardew afford another slip in front of a potentially hostile home crowd who served as assistant manager at st james ' park under sam allardyce nigel pearson be anxious he seeks extend"	Leicester City
328	14/15	Southampton	Sunderland	the international break interrupted encouraging runs the managers be heartened returned their key players have returned without injury with even sadio mane in contention their key players have returned without injury their key players have returned with even sadio mane in contention their key players start this match their key players start this match despite not getting back from senegal to southampton until friday which is second	Southampton
329	14/15	Southampton	Sunderland	the international break interrupted encouraging runs the managers be heartened returned their key players have returned without injury their key players start this match sunderland be pressed which is second	Sunderland
330	14/15	Queens Park Rangers	Liverpool	they afford another slip-up they afford another slip-up after an inconsistent start to the season queens park r is angers rock bottom queens park r pose them	Queens Park Rangers
331	14/15	Queens Park Rangers	Liverpool	liverpool will have eye on wednesday liverpool will have eye liverpool will have eye on their match against real madrid brendan rodgers knows afford they afford another slip-up they afford another slip-up after an inconsistent start to the season liverpool been boosted by daniel sturridge ' s return from injury raheem sterling has a point	Liverpool
332	14/15	Stoke City	Swansea City	they look for their first ever premier league win at the britannia stadium manager will have make who is suspended after picking up five yellow cards opposite number should have mame biram diouf opposite number should have mame biram diouf back from injury opposite number should have victor moses opposite number should have victor moses back from injury	Stoke City
333	14/15	Stoke City	Swansea City	garry monk has called have they look for their first ever premier league win at the britannia stadium manager will have make who is suspended after picking up five yellow cards	Swansea City
334	14/15	West Brom	Manchester United	"the monday evening kick-off is good news it gives him more time the albion manager is alan irvine the albion manager has described his team-mates as "" absolutely delighted "" about their recent success with northern ireland the albion manager has described brunt as "" absolutely delighted "" about their recent success with northern ireland the albion manager has described his team-mates the albion manager has described brunt the albion manager is alan irvine the albion manager will hope carry they can carry that momentum they can carry that momentum into their club form"	West Brom
335	14/15	West Brom	Manchester United	"the monday evening kick-off is good news it gives him more time the albion manager is alan irvine the albion manager has described his team-mates as "" absolutely delighted "" about their recent success with northern ireland the albion manager has described his team-mates the albion manager is alan irvine the albion manager will hope carry they can carry that momentum they can carry that momentum into their club form"	Manchester United
336	14/15	Liverpool	Hull City	mario balotelli should keep his place despite enduring a week of criticism after below-par performances against qpr and real madrid mario balotelli should keep his place because of the limited options available to brendan rodgers mario balotelli should keep his place in liverpool ' s mario balotelli should keep his place in liverpool ' s because of the limited options available to brendan rodgers despite enduring a week of criticism after below-par performances against qpr and real madrid mario balotelli starting lineup the italian be encouraged by the fact hull have shipped 10 goals in their three most recent trips to anfield hull have shipped goals in their three most recent trips to anfield this be fall the afternoon things fall in to place the afternoon things fall to place the afternoon things fall in	Liverpool
337	14/15	Liverpool	Hull City	the italian be encouraged by the fact hull have shipped 10 goals in their three most recent trips to anfield hull have shipped goals in their three most recent trips to anfield hull have shipped goals this be fall the afternoon things fall in to place the afternoon things fall to place the afternoon things fall in	Hull City
338	14/15	Southampton	Stoke City	it be an understatement southampton are going struggle the 8-0 win was the most eye-catching result it is unlikely it going be who should provide a sturdier test the challenge is ensure his players maintain those high standards	Southampton
339	14/15	Southampton	Stoke City	it be an understatement the 8-0 win was the most eye-catching result it is unlikely it going be who should provide a sturdier test the challenge is ensure his players maintain those high standards	Stoke City
340	14/15	Sunderland	Arsenal	gus poyet says order he order an extra sunday training session following last saturday ' s 8-0 surrender at southampton he order an extra sunday training session he bear look atonement is demanded team have done probably team have done at this delicate juncture least a mixture means is that cope with	Sunderland
341	14/15	Sunderland	Arsenal	gus poyet says order he order an extra sunday training session following last saturday ' s 8-0 surrender at southampton he order an extra sunday training session he bear look atonement is demanded team have done probably team have done at this delicate juncture team have done without a visit from arsenal team have done probably without a visit from arsenal at this delicate juncture jack wilshere means is least a mixture means is arsene wenger is without nine first-teamers including mesut ozil , olivier giroud and theo walcott that leaves aaron ramsey that leaves aaron ramsey just that cope with	Arsenal
342	14/15	Swansea City	Leicester City	swansea took points in their opening three games swansea took points from nine swansea took points from nine in their opening three games swansea are now without a win in five swansea are without a win in five swansea are now a draw was followed by wins at home to manchester united and away to stoke they have failed score both sides are badly both sides are badly in need of a morale-boosting win both sides are in need of a morale-boosting win	Swansea City
343	14/15	Swansea City	Leicester City	leicester have struggled a draw was followed by wins at home to manchester united and away to stoke they have failed score both sides are badly both sides are badly in need of a morale-boosting win both sides are in need of a morale-boosting win	Leicester City
344	14/15	West Brom	Crystal Palace	west brom came desperately close daley blind rescued a point optimism is building at the hawthorns under alan irvine and saido berahino and stephane sessegnon team have lost their past two games team are in need of finding some consistency	West Brom
345	14/15	West Brom	Crystal Palace	daley blind rescued a point optimism cause palace problems optimism cause palace problems likely team have lost their past two games team are in need of finding some consistency	Crystal Palace
346	14/15	West Ham United	Manchester City	who crave a win who crave a win in the early kick-off who edge before the league leaders ' game at old trafford who edge closer to chelsea before the league leaders ' game at old trafford who edge closer to chelsea west ham are as capable they relapse defence been excellent the hammers have top strikers in diafra sakho and enner valenica the hammers have top strikers a fascinating contest is in store	West Ham United
347	14/15	West Ham United	Manchester City	who crave a win who crave a win in the early kick-off who edge before the league leaders ' game at old trafford who edge closer to chelsea before the league leaders ' game at old trafford who edge closer to chelsea city were guilty city clash with cska moscow in midweek city clash with cska moscow city clash in midweek they relapse defence been excellent the in-form sergio aguero will give them their biggest test a fascinating contest is in store	Manchester City
348	14/15	Burnley	Everton	the europa league hangover be a concern they have enough impetus they have enough impetus still who need a fit-again danny ings who reacquire his sharpness their battle becomes insurmountable	Burnley
349	14/15	Burnley	Everton	everton have overcome their slow start the europa league hangover be a concern they have enough impetus they have enough impetus still who reacquire his sharpness their battle becomes insurmountable	Everton
350	14/15	Manchester United	Chelsea	van gaal insisted catch van gaal insisted catch victory van gaal insisted victory manchester united can catch chelsea but van gaal would see opened a 13-point gap opened between the two loic remy ruled definitely loic remy meaning lead who returns from illness wayne rooney remains	Manchester United
351	14/15	Manchester United	Chelsea	a 13-point gap opened between the two diego costa remains a doubt loic remy ruled definitely loic remy meaning lead mourinho may lead the line who returns from illness	Chelsea
352	14/15	Tottenham Hotspur	Newcastle United	the pressure is exactly the pressure is off alan pardew the pressure is exactly off alan pardew he heads back to his home-town of london he face tottenham the chance looks long arduous the chance looks long the chance looks arduous it be easy	Tottenham Hotspur
353	14/15	Tottenham Hotspur	Newcastle United	the pressure is exactly the pressure is off alan pardew the pressure is exactly off alan pardew he heads back to his home-town of london saturday ' s home win bought the newcastle manager some respite the chance looks long arduous the chance looks long the chance looks arduous it be easy	Newcastle United
354	14/15	Queens Park Rangers	Aston Villa	it been at qpr insults been traded between harry redknapp and adel taarabt via the press insults been traded via the press insults been traded between harry redknapp and adel taarabt even tony fernandes was forced wade it remains seen taarabt described by his manager taarabt described as three-stone overweight taarabt described as three-stone overweight by his manager it be selected here qpr have won only once	Queens Park Rangers
355	14/15	Queens Park Rangers	Aston Villa	insults been traded via the press even tony fernandes was forced wade it remains seen it be selected here villa are themselves villa losing four in succession villa losing four	Aston Villa
356	14/15	Arsenal	Burnley	it get any easier by arsene wenger ' s admission they chase their first victory arsenal are even it struggling find they are likely the onus is all on arsenal the onus find the way they are desperate	Arsenal
357	14/15	Arsenal	Burnley	they chase their first victory it struggling find burnley have scored goals they are likely the onus find the way they are desperate	Burnley
358	14/15	Burnley	Hull City	the problem is goes it goes the longer they will look the more they will look at games such as saturday ' s they will look the more at games such as saturday ' s they think is this is the day their manager is sean dyche their manager will hope so saturday be the day	Burnley
359	14/15	Burnley	Hull City	the problem is goes it goes the longer they will look the more they will look at games such as saturday ' s they will look the more at games such as saturday ' s they think is this is the day their manager will hope so hull are playing a lot better than 14th hull suggests saturday be the day	Hull City
360	14/15	Liverpool	Chelsea	brendan rodgers claims be brendan rodgers will intensify without a positive result against the unbeaten premier league leaders he is acutely aware liverpool ' s display been subject the fact remains require they require a vast improvement their levels dropped against qpr and maribor	Liverpool
361	14/15	Liverpool	Chelsea	he is acutely aware the fact remains require they require a vast improvement their levels dropped against qpr and maribor	Chelsea
362	14/15	Manchester United	Crystal Palace	van gaal feels lousy a packed old trafford offers the chance the manager was injuries suspension means used michael carrick be used as a stop-gap central defender side are bound make	Manchester United
363	14/15	Manchester United	Crystal Palace	the manager was injuries suspension means used side are bound make	Crystal Palace
364	14/15	Queens Park Rangers	Manchester City	queens park rangers need defeated their display suggests be this be a test	Queens Park Rangers
365	14/15	Queens Park Rangers	Manchester City	manchester city is doubt manchester city are teetering close to a crisis pellegrini ' s side are all but out of the champions league and pellegrini ' s side are struggling domestically pellegrini ' s side are struggling despite victory in the manchester derby pellegrini ' s side are struggling despite victory in the manchester derby domestically their display suggests be this be a test	Manchester City
366	14/15	Southampton	Leicester City	his team scored in their past three matches who has recovered from the niggle that hampered him last week that hampered him that is unlikely	Southampton
367	14/15	Southampton	Leicester City	matches has sent leicester matches has sent leicester into the bottom three nigel pearson be concerned scored his team scored in their past three matches leicester could start striker leonardo ulloa at least leicester could start striker leonardo ulloa who has recovered from the niggle that hampered him last week that hampered him that is unlikely	Leicester City
368	14/15	West Ham United	Aston Villa	west ham have faced in early november complacency was one many fans foresaw west ham riding high and dreaming of europe west ham riding of europe west ham riding high and dreaming aston villa having lost six with west ham riding high and dreaming of europe , and sam allardyce has had call they are desperate	West Ham United
369	14/15	West Ham United	Aston Villa	complacency was one many fans foresaw aston villa having lost six aston villa having lost six with west ham riding high and dreaming of europe , and aston villa having lost six on the spin christian benteke is suspended villa have scored goals they are desperate	Aston Villa
370	14/15	Sunderland	Everton	sunderland cope how sunderland cope without the suspended lee cattermole sunderland cope how without the suspended lee cattermole jack rodwell is ready they are missing him after a disappointing start on wearside following his PS10m summer move from manchester city they are missing him how much they are missing him rodwell start even sunderland avoid registering	Sunderland
371	14/15	Sunderland	Everton	everton recover from their thursday night europa league exertions in time to win away everton recover from their thursday night europa league exertions everton recover in time to win away they are missing him after a disappointing start on wearside following his PS10m summer move from manchester city they are missing him how much they are missing him	Everton
372	14/15	Swansea City	Arsenal	they surrendered a 3-0 lead when they surrendered a 3-0 lead they prompting paul merson describe swansea may fancy their chances the striker is set sign	Swansea City
373	14/15	Swansea City	Arsenal	they surrendered a 3-0 lead when they surrendered a 3-0 lead they prompting paul merson describe laurent koscielny sidelined with mathieu debuchy , mikel arteta sidelined with mathieu debuchy , the striker is set sign	Arsenal
374	14/15	Tottenham Hotspur	Stoke City	tottenham have lost three out of their last four premier league matches at white hart lane , which underlines how tough it has been to establish confidence in the early months of the mauricio pochettino era tottenham have lost three which underlines been it been how tough morale was particularly low the clamour having racked wins with harry kane a scorer in each game and the clamour having racked wins since the clamour having racked wins the clamour looking increasingly the clamour looking increasingly like white hart lane ' s knight in shining armour the clamour looking like white hart lane ' s knight in shining armour the clamour is surely irresistible	Tottenham Hotspur
375	14/15	Tottenham Hotspur	Stoke City	which underlines been it been how tough morale was particularly low the clamour having racked wins since the clamour having racked wins the clamour looking increasingly the clamour is surely irresistible stoke have won once stoke have won once in the last month stoke have won in the last month	Stoke City
376	14/15	Arsenal	Manchester United	this be anything both clubs ought strengthened they lag outside the top four the search been held arsenal have won two their need is greater you have look arsene wenger suggested have it be a very exciting game	Arsenal
377	14/15	Arsenal	Manchester United	this be anything both clubs ought strengthened they lag outside the top four the search been held their need is greater united are desperate you have look it be a very exciting game	Manchester United
378	14/15	Chelsea	West Brom	no other team looking compete no other team looking compete yet complacency look likely only injuries look likely a doubt hanging over the participation of cesc fabregas , mourinho ' s men are more who been stuttering over	Chelsea
379	14/15	Chelsea	West Brom	no other team looking compete no other team looking compete yet complacency look likely only injuries look likely who been stuttering over	West Brom
380	14/15	Everton	West Ham United	roberto martinez have enjoyed the recent internationals both sides have considerable injury concerns his star striker is diafra sakho his star striker is diafra sakho partner enner valencia his star striker is partner enner valencia his star striker miss they do everton ' s defence will breathe a sigh everton ' s defence will breathe a sigh then the pair been instrumental	Everton
381	14/15	Everton	West Ham United	sam allardyce have enjoyed the recent internationals both sides have considerable injury concerns allardyce ' s biggest headache is miss his star striker is diafra sakho his star striker is diafra sakho partner enner valencia his star striker is partner enner valencia his star striker miss they do the pair been instrumental	West Ham United
382	14/15	Leicester City	Sunderland	this game may have a hand which stays in the premier league leicester entertain sunderland lost leicester having lost four they will need striker leonardo ulloa regain who netted since september that saw score him score freely earlier in the season him score freely him score in the season him score earlier	Leicester City
383	14/15	Leicester City	Sunderland	this game may have a hand which stays in the premier league leicester entertain sunderland lost they will need striker leonardo ulloa regain who netted since september that saw score him score freely earlier in the season him score freely him score in the season him score earlier a sunderland win will do much boost	Sunderland
384	14/15	Manchester City	Swansea City	the eight-point gap has the champions swansea city arrive points behind manchester city swansea city arrive points so swansea city arrive points who be well without vincent kompany and david silva who be without vincent kompany and david silva who be well manuel pellegrini be wary bayern munich are at the etihad stadium bayern munich are on wednesday bayern munich are at the etihad stadium on wednesday for a must-win champions league bayern munich are for a must-win champions league	Manchester City
385	14/15	Manchester City	Swansea City	the eight-point gap has the champions swansea city arrive points so swansea city arrive points who be well manuel pellegrini be wary bayern munich are on wednesday bayern munich are for a must-win champions league	Swansea City
386	14/15	Newcastle United	Queens Park Rangers	"a resurgent newcastle aim for a sixth successive win in all competitions and a fourth straight clean sheet much more be singing soon much more be singing about "" walking in a pardew wonderland "" tynesiders be singing soon tynesiders be singing about "" walking in a pardew wonderland "" much more be singing soon about "" walking in a pardew wonderland "" tynesiders be singing soon about "" walking in a pardew wonderland "" who must pray emulate he emulate somehow harry redknapp be heartened even so by the raft of injuries primarily in defence , which deprive the home side of some key performers including fabricio coloccini harry redknapp be heartened even so harry redknapp be heartened primarily in defence , which deprive the home side of some key performers including fabricio coloccini harry redknapp be heartened by the raft of injuries which deprive the home side"	Newcastle United
387	14/15	Newcastle United	Queens Park Rangers	"joey barton returns to st james ' park with qpr joey barton returns with qpr joey barton returns to st james ' park much more be singing soon much more be singing about "" walking in a pardew wonderland "" tynesiders be singing soon tynesiders be singing about "" walking in a pardew wonderland "" much more be singing soon about "" walking in a pardew wonderland "" tynesiders be singing soon about "" walking in a pardew wonderland "" who must pray emulate he emulate somehow harry redknapp be heartened even so harry redknapp be heartened by the raft of injuries which deprive the home side"	Queens Park Rangers
388	14/15	Stoke City	Burnley	who gained their first win before the international break who gained their first win they have liked his side try climb mark hughes be have confident stoke have enough quality	Stoke City
389	14/15	Stoke City	Burnley	who gained their first win before the international break who gained their first win they have liked sean dyche be looking despite having to wait a little longer than they would have liked sean dyche be looking for a repeat performance sean dyche be looking despite having to wait a little longer than they would have liked for a repeat performance his side try climb	Burnley
390	14/15	Crystal Palace	Liverpool	they dubbed goal capitulation mockingly they dubbed goal capitulation crystanbul be haunted by memories of that evening crystanbul be haunted upon sunday ' s return to selhurst park crystanbul be haunted by memories of that evening upon sunday ' s return to selhurst park the visitors won actually the visitors won at palace the visitors won actually only once at palace in 20 years the visitors won only once the visitors won in 20 years their own season been stodgy they will confront hosts whose recent form is unrecognisable which propelled pulis ' s team safety point is a miserable return they be in tbe bottom three come kick-off is be three come kick-off is three come kick-off be	Crystal Palace
391	14/15	Crystal Palace	Liverpool	they dubbed goal capitulation mockingly they dubbed goal capitulation crystanbul be haunted by memories of that evening the visitors won actually the visitors won only once the visitors won in 20 years their own season been stodgy they will confront hosts whose recent form is unrecognisable which propelled pulis ' s team safety point is a miserable return they be in tbe bottom three come kick-off is be three come kick-off is three come kick-off be liverpool be after revenge	Liverpool
392	14/15	Hull City	Tottenham Hotspur	hull city will want pick a display has come want much is better the players play that the players play that away the players play that rather failure will leave them failure will leave them with nowhere failure hide from their expectant fans	Hull City
393	14/15	Hull City	Tottenham Hotspur	a display has come want much is better the players play that the players play that away the players play that rather failure will leave them after emmanuel adebayor ' s controversial comments that the players would rather play away failure will leave them failure will leave them with nowhere failure hide from their expectant fans	Tottenham Hotspur
394	14/15	Aston Villa	Southampton	this going by the form book this be a walk koeman ' s side will arrive at villa park second in the table koeman ' s side will arrive at villa park they are full aston villa have picked point aston villa have picked point out of a possible 21 aston villa have picked point on the other hand aston villa are through injury as well as the suspended christian benteke aston villa are without three central defenders aston villa are without three central defenders through injury as well as the suspended christian benteke	Aston Villa
395	14/15	Aston Villa	Southampton	this going by the form book this be a walk koeman ' s side have won 11 koeman ' s side will arrive second in the table they are full	Southampton
396	14/15	Burnley	Aston Villa	sean dyche be feeling good burnley be feeling good they prepare face they have won their last two matches they have moved the bottom they have moved the bottom off burnley have found some form dyche masterminds a third victory burnley move most burnley move probably burnley move out of the relegation zone burnley move most probably out of the relegation zone	Burnley
397	14/15	Burnley	Aston Villa	they prepare face they have won their last two matches they have moved the bottom they have moved the bottom off aston villa are in eight aston villa are without a win in eight aston villa are without a win burnley will leapfrog aston villa then burnley will leapfrog aston villa	Aston Villa
398	14/15	Liverpool	Stoke City	steven gerrard be expected brendan rodgers admitting draw brendan rodgers admitting draw prior to the champions league games be expected of him whoever starts	Liverpool
399	14/15	Liverpool	Stoke City	games be expected of him whoever starts stoke smarting from last weekend ' s home defeat by burnley stoke have beaten manchester city stoke have beaten tottenham hotspur stoke have beaten tottenham hotspur on their travels stoke have beaten manchester city on their travels	Stoke City
400	14/15	Manchester United	Hull City	the louis van gaal project continues rumble that derived from counterattacking play gaal ' s side will click perhaps gaal ' s side will click perhaps after the rousing win at arsenal that derived from counterattacking play into a team able to perform for 90 minutes against visiting hull city who will want to improve on recent form gaal ' s side will click into a team able to perform for 90 minutes against visiting hull city who will want to improve on recent form gaal ' s side will click after the rousing win at arsenal that derived from counterattacking play who will want improve	Manchester United
401	14/15	Manchester United	Hull City	that derived from counterattacking play gaal ' s side will click perhaps after the rousing win at arsenal that derived from counterattacking play into a team able to perform for 90 minutes against visiting hull city who will want to improve on recent form gaal ' s side will click into a team able to perform for 90 minutes against visiting hull city who will want to improve on recent form who will want improve	Hull City
402	14/15	Queens Park Rangers	Leicester City	qpr look likely it is early harry redknapp be desperate harry redknapp secure leverage in the fight harry redknapp secure leverage harry redknapp stay qpr look early favourites qpr scored in five qpr are without a win qpr are in their past seven league games qpr are without a win in their past seven league games	Queens Park Rangers
403	14/15	Queens Park Rangers	Leicester City	leicester city look likely it is early harry redknapp be desperate nigel pearson be desperate nigel pearson secure leverage in the fight harry redknapp secure leverage in the fight nigel pearson secure leverage harry redknapp secure leverage harry redknapp stay nigel pearson stay	Leicester City
404	14/15	Sunderland	Chelsea	sunderland may appear in peril of reprising last season ' s least gus poyet knows beat poyet relished choreographing which ended run which ended run during his two stints in charge in west london that was enough i ' m hoping for an ugly evening i ' m hoping with lots of wind and rain i ' m hoping for an ugly evening with lots of wind and rain he says hoping	Sunderland
405	14/15	Sunderland	Chelsea	least gus poyet knows beat poyet relished choreographing which ended run which ended run during his two stints in charge in west london that was enough poyet ' s players knocked chelsea out of last season ' s league cup poyet ' s players knocked chelsea poyet ' s players knocked chelsea also i ' m hoping for an ugly evening i ' m hoping with lots of wind and rain i ' m hoping for an ugly evening with lots of wind and rain he says hoping	Chelsea
406	14/15	Swansea City	Crystal Palace	swansea city be looking get the swans were the swans disgraced far from in last week ' s defeat at manchester city and garry monk the swans disgraced far from the swans disgraced in last week ' s defeat at manchester city and garry monk the swans hope certainly the swans hope certainly for all three points the swans hope for all three points they have won just once on the road in the premier league	Swansea City
407	14/15	Swansea City	Crystal Palace	they entertain crystal palace when they entertain crystal palace on saturday they entertain crystal palace at the liberty stadium they entertain crystal palace crystal palace be looking build they have won just once on the road in the premier league	Crystal Palace
408	14/15	West Brom	Arsenal	they left where the prospect be daunting for west brom his first start be daunting for west brom alan irvine be hoping show	West Brom
409	14/15	West Brom	Arsenal	they left where olivier giroud makes daunting alan irvine be hoping show arsenal show their usual defensive frailties	Arsenal
410	14/15	West Ham United	Newcastle United	alan pardew had their detractors sam allardyce had their detractors now west ham are sixth now west ham are sixth fifth now west ham are fifth life been this allardyce reckons provide only chelsea would provide a bigger test at the moment only chelsea would provide a bigger test he be reckons he missed defeat	West Ham United
411	14/15	West Ham United	Newcastle United	alan pardew had their detractors newcastle are sixth newcastle are sixth fifth newcastle are fifth life been this newcastle will arrive after winning their past five matches newcastle will arrive at upton park newcastle will arrive in a confident mood newcastle will arrive at upton park in a confident mood after winning their past five matches only chelsea would provide a bigger test at the moment only chelsea would provide a bigger test he be reckons he missed defeat	Newcastle United
412	14/15	Southampton	Manchester City	the visitors will hope maintain southampton secured a point southampton secured a point at aston villa it is a mark even a draw felt wasteful their pedigree be scrutinised in a tough schedule their pedigree be scrutinised in a tough schedule over the next month their pedigree be scrutinised over the next month they be daunted	Southampton
413	14/15	Southampton	Manchester City	the visitors will hope maintain it is a mark even a draw felt wasteful their pedigree be scrutinised in a tough schedule their pedigree be scrutinised in a tough schedule over the next month their pedigree be scrutinised over the next month they be daunted	Manchester City
414	14/15	Hull City	West Brom	hull lost all their november games hull lost all their november games despite taking points at liverpool and arsenal in october hull find themselves on tuesday hull find themselves in the relegation zone hull find themselves steve bruce was relieved after a 1-1 draw with everton steve bruce lifted them steve bruce lifted them to 17th the tigers are still the tigers are without a win in seven and a point behind the visitors the tigers are still without a win in seven and a point behind the visitors who have lost their past four putting pressure who have lost their past four putting pressure on alan irvine who stop the rot who suffered a hamstring injury	Hull City
415	14/15	Hull City	West Brom	who have lost their past four putting pressure who have lost their past four putting pressure on alan irvine who stop the rot who suffered a hamstring injury who suffered a hamstring injury in their midweek defeat to west ham	West Brom
416	14/15	Liverpool	Sunderland	brendan rodgers was a week ago brendan rodgers was under siege a week ago brendan rodgers was under siege he is seeking a hat-trick was a back-to-basics approach has paid dividends a back-to-basics approach has paid dividends for the liverpool manager , who may again consider resting steven gerrard with a crucial champions league game against basel plus manchester united to come next week who consider resting	Liverpool
417	14/15	Liverpool	Sunderland	he is seeking a hat-trick was a back-to-basics approach has paid dividends who consider resting sunderland have scored goals away sunderland have scored goals sunderland won last at anfield in 1983 sunderland won in 1983 sunderland won last sunderland won at anfield	Sunderland
418	14/15	Manchester City	Everton	manchester city have hit good form manchester city required when manchester city are in the middle of an unwanted stumble pellegrini ' s team be confident the champions is rousing 4-1 victory the champions was a third consecutive win a player admired much by city a player admired much a player admired by city the visitors is at his best the visitors have a chance	Manchester City
419	14/15	Manchester City	Everton	the champions is rousing 4-1 victory the champions was a third consecutive win everton ' s 1-1 draw meant have martinez ' s side have a sole victory in their past five outings martinez ' s side have a sole victory everton arrive still everton arrive still with ross barkley in their ranks everton arrive with ross barkley everton arrive in their ranks a player admired much the visitors is at his best the visitors have a chance	Everton
420	14/15	Newcastle United	Chelsea	he is win james ' park regulars wondered had what been had sir bobby robson got his way sir bobby robson succeeded in persuading the portuguese to go there as his assistant back in the late 1990s alan pardew are friends pardew relish celebrating	Newcastle United
421	14/15	Newcastle United	Chelsea	jose mourinho be the special one he is win what been had sir bobby robson got his way sir bobby robson succeeded in persuading the portuguese to go there as his assistant back in the late 1990s mourinho are friends alan pardew are friends pardew relish celebrating	Chelsea
422	14/15	Queens Park Rangers	Burnley	loftus road is becoming a fortress which is are they are pick team are unbeaten they welcome another promoted side they welcome another promoted side after edging a thrilling encounter with leicester city last saturday they welcome another promoted side to west london they will hope inspire	Queens Park Rangers
