	HomeTeam	AwayTeam	HomeGoals	AwayGoals	Date	Season	Commentary	Result	sentiment
275	Everton	Liverpool	0	0	07/02/2015	15	Brendan Rodgers’ jaw almost hit the floor when it was put to him that both Merseyside rivals head in to the 224th derby in a good run of form. Liverpool have won eight of their past 14 matches, Everton two in 14. Hence his astonishment. Everton did collect a crucial first win of 2015 at Crystal Palace last Saturday and will need to maintain the dogged defending of Selhurst Park as Steven Gerrard looks to bow out of this historic fixture emphatically. Andy Hunter	0	-0.9549570083618164,0.998759925365448
276	Leicester City	Crystal Palace	0	1	07/02/2015	15	Two home wins from 11 are a worry and though the loanee Robert Huth is suspended, Riyad Mahrez is back from Equatorial Guinea in one piece. Palace have included Keshi Anderson, 19, after he scored a six-minute hat-trick against them last week and one for the under-21s after signing from non-league Barton Rovers for £30k. ‘The headlights are still full-on for him,’ said Alan Pardew. Mark Tallentire	-1	0.6317752003669739,0.9935020208358765
277	Manchester City	Hull City	1	1	07/02/2015	15	Manuel Pellegrini’s side have just endured a second bumpy patch of form in this title-defence season and as this one has left them five points behind Chelsea with only 15 games remaining a third cannot be afforded. The manager has all of his players fit – a rarity – so he has no excuse for not fielding the strongest XI and for not defeating Steve Bruce’s strugglers, who are third-bottom. Jamie Jackson	0	-0.9867361187934875,-0.0005186498165130615
278	Queens Park Rangers	Southampton	0	1	07/02/2015	15	An ability to thrive despite upheaval is something that QPR would do well to learn from Southampton but on Saturday Rangers would much rather see Saints flop. Unfortunately for them, Ronald Koeman’s team travel to Loftus Road determined to atone for their unexpected defeat to Swansea and should be bolstered by the returns of some key players. But with Chris Ramsey and Les Ferdinand taking charge following the resignation of Harry Redknapp, there is hope of an upswing in form for QPR, too. Paul Doyle	-1	0.9884251356124878,0.988339900970459
279	Swansea City	Sunderland	1	1	07/02/2015	15	Given their recent struggles both sides head into this game buoyed by good away victories, with Sunderland finding goalscoring form to win their FA Cup replay at Fulham and Swansea shrugging off some midfield absentees to win impressively at Southampton. Jermain Defoe opened his Sunderland account last week, and his goals could just keep them out of the relegation battle. Paul Chronnell	0	0,0.9779856204986572
280	Tottenham Hotspur	Arsenal	2	1	07/02/2015	15	There were three north-London tussles last season and Arsenal won all of them while Tottenham went through another two managers. Mauricio Pochettino has been bold to play homegrown youth ahead of bigger names and has been rewarded. Both teams are on form and this promises to be another telling encounter between sides separated by one place and two points. Paul Chronnell	1	0.9998114705085754,0.9970635771751404
281	Burnley	West Brom	2	2	08/02/2015	15	Sean Dyche could name the same Burnley starting XI for the 10th Premier League game in a row, but Matt Taylor is pushing for a place in the squad after five months out. Darren Fletcher is set to go straight into a West Brom side looking to bounce back from their first defeat under Tony Pulis, who may decide to bench Saido Berahino after the striker’s ill-conceived interview this week. Rob Bleaney	0	0.006905645132064819,-0.9523584842681885
282	Newcastle United	Stoke City	1	1	08/02/2015	15	It is some years since John Carver and Mark Hughes were on the same Pro Licence course but both men will be hoping to put theory into practice as Carver seeks his first home win since succeeding Alan Pardew. Much as Hughes has imbued Tony Pulis’s old Stoke side with new-found creativity, Carver’s side is rather more attack-minded than Alan Pardew’s, with the previously struggling – and often sidelined – Rémy Cabella suddenly blossoming under his guidance. Louise Taylor	0	0,0.9874663650989532
283	West Ham United	Manchester United	1	1	08/02/2015	15	Upton Park has been a difficult venue for visiting teams this season but Manchester United will fancy their chances given both of West Ham’s regular centre-backs, Winston Reid and James Collins, are doubtful with injuries. A chance, then, for Wayne Rooney to score for the first time in 2015, and perhaps from the halfway line, as he did during his last match at this stadium. Sachin Nakrani	0	0,0.9869968295097351
284	Aston Villa	Stoke City	1	2	21/02/2015	15	Tim Sherwood officially takes charge of his first game as Aston Villa manager against Stoke City. He certainly talks a good game but turning around his side’s recent form will be a very tough task. However, there is no better time to face Stoke City at home as they have lost 4-1 in consecutive matches on the road. Mark Hughes will not want to witness a third away drubbing and will be looking to upset Sherwood on his debut. Graham Searles	-1	0.9992620348930359,-0.99851194024086
285	Chelsea	Burnley	1	1	21/02/2015	15	José Mourinho will be supremely confident Chelsea can sweep Burnley aside and continue their march towards the Premier League title. Diego Costa returns to the starting lineup after suspension, which will strike fear into Burnley hearts. Sean Dyche, however, will remind his players of Bradford’s unbelievable FA Cup upset at Stamford Bridge and will want them to reproduce that magic. Graham Searles	0	0.9995948672294617,0.9901184737682343
286	Crystal Palace	Arsenal	1	2	21/02/2015	15	Victory at Selhurst Park would lift Arsenal into the top four for at least 24 hours and also set them up nicely for their last-16 Champions League tie against Monaco on Wednesday. Arsène Wenger’s side have lost once since New Year’s Day and they are starting to build some momentum. Yet Crystal Palace are likely to be difficult opponents. They still need a few more points to ensure that they are not dragged into the relegation scrap. Jacob Steinberg	-1	-0.2762203613917033,0.9990740716457367
287	Hull City	Queens Park Rangers	2	1	21/02/2015	15	Hull City and QPR’s fortunes both improved last time out after much-needed victories and neither side find themselves in the relegation zone now. Chris Ramsey presided over QPR’s first away win of the season and he will be looking for a repeat performance to stay out of trouble. Steve Bruce, meanwhile, will want new signing Dame N’Doye to build on his promising debut. Graham Searles	1	0.15677636861801147,0.9908362627029419
288	Manchester City	Newcastle United	5	0	21/02/2015	15	Manchester City welcome Wilfried Bony to their ranks for the first time on match-day as the champions’ quest to maintain pressure on Chelsea continues when Newcastle United visit for the late kick-off. With José Mourinho’s side seven points ahead and only 13 matches remaining, City’s challenge is to go for a maximum return of 39 and hope Chelsea slip up. As it is seven years since the Magpies managed even a draw against City in the Premier League, Manuel Pellegrini should feel confident. Jamie Jackson	1	0.0792873203754425,0.9994745850563049
289	Sunderland	West Brom	0	0	21/02/2015	15	Tony Pulis is probably the last person Gus Poyet wants to meet right now. Sunderland’s manager cannot be overly delighted at the prospect of clapping eyes on Brown Ideye, West Brom’s in-form £10m striker either as Pulis’s renascent side aim to exacerbate the Uruguayan’s recent misery. After writing an extraordinary open letter to Sunderland fans, begging for their backing, Poyet could do with his side registering what would be only their third home league win all season. Should they stumble, what happens next is anyone’s guess. Louise Taylor	0	0.2533436020215352,-0.9962221384048462
290	Swansea City	Manchester United	2	1	21/02/2015	15	Swansea City’s best performance this season came in the reverse fixture on the opening day when Garry Monk’s side pulled off a dramatic 2-1 win at Old Trafford. Since then Swansea have been inconsistent and one fears for the Swans hosting United, with their current ability to get results without playing dazzling football. Louis van Gaal knows a win is important to keep the chasing pack looking for Champions League qualification at bay. Graham Searles	1	0.0009548664093017578,0.9983742237091064
291	Everton	Leicester City	2	2	22/02/2015	15	Nigel Pearson’s bottom-placed side arrive at Goodison Park on the back of four consecutive defeats and will hope a Thursday night game on an artificial pitch has taken a toll on Everton. Roberto Martínez’s side again showed they are more at home in the Europa League than domestically with the 4-1 win over Young Boys in Bern. Confidence should have improved as a result, although Everton have won only two of six matches following European exertions so far this season. Andy Hunter	0	0.4372836152712504,0
292	Southampton	Liverpool	0	2	22/02/2015	15	This contest will provide another test of Southampton’s staying power, with Ronald Koeman’s side attempting to rekindle some of their trademark verve after one win in four matches in all competitions. They confront a Liverpool team who have found their own upbeat rhythm, with one loss in 17 and, in Adam Lallana, Rickie Lambert and Dejan Lovren, players who will relish returning to their former haunts. Only four points separate these sides at kick‑off. Each can deliver a statement of renewed intent with victory. Dominic Fifield	-1	0.980601578950882,0.9981661438941956
293	Tottenham Hotspur	West Ham United	2	2	22/02/2015	15	Tottenham Hotspur have begun their Europa League knockout campaign and so will have the difficult task of managing Thursday night matches. This as an opportune moment for West Ham to head to White Hart Lane and if they are triumphant then European qualification hopes will be ignited. Most importantly for Spurs, Harry Kane returns after being rested in midweek. Graham Searles	0	0.3393976092338562,0.9977403879165649
294	Burnley	Swansea City	0	1	28/02/2015	15	Burnley have travelled more miles than any other top-flight side this season so will welcome the luxury of a home fixture. Swansea are 15 points away from the bottom three, 10 points short of the top four and went out of the FA Cup at Blackburn last week and thus would appear to have little to play for in their final 12 games. Sean Dyche’s side must make the most of games like this if they are to defy the odds and stay up. Rich Flower	-1	0.9984416166941324,-0.9990628361701965
295	Manchester United	Sunderland	2	0	28/02/2015	15	Robin van Persie’s ankle injury offers Radamel Falcao another chance to impress in attack after an underwhelming spell so far at Manchester United. He is likely to be partnered in attack by James Wilson, who has, arguably, outshone his more illustrious – and considerably higher paid – team-mate this season. Sunderland, with one win from their past 10 league games, need at least a point on Saturday to guarantee they will not be sucked into the bottom three. Rich Flower	1	0.987642765045166,0.38127313057581586
296	Newcastle United	Aston Villa	1	0	28/02/2015	15	Jonás Gutiérrez is expected to be back on Newcastle’s bench after recovering from testicular cancer with John Carver hoping his comeback lifts the mood in the wake of last weekend’s 5-0 thrashing at Manchester City. If Carver could do with a reassuring victory, Tim Sherwood will sense an opportunity to secure the first win of his Villa tenure. It should be intriguing to assess precisely how much more direct the new manager is making Paul Lambert’s old team. With both sides extremely swift on the break, this promises to be all about counter-attacking. Louise Taylor	1	0.9944338202476501,0.9918306767940521
297	Stoke City	Hull City	1	0	28/02/2015	15	Hull have recovered well this month after a dreadful January in which they took only three points from a possible 12. Wins over Aston Villa and QPR and a draw at Manchester City have lifted Hull to 15th but Steve Bruce is under no illusions and has warned his players they remain in a “horrible dogfight”. Stoke welcome back Geoff Cameron after a ban but are still missing Ryan Shawcross. Rich Flower	1	-0.9618676900863647,0.32299643754959106
298	West Brom	Southampton	1	0	28/02/2015	15	After losing 2-0 at home against Liverpool, Southampton will be happy to get back on the road, where recent results have been much better and helped to sustain their pursuit of a place in the top four. Ronald Koeman’s side have taken 13 points from a possible 15 away, although they will have to be at their best to continue that run against Albion, who are edging clear of the relegation zone and looking for a fifth clean sheet in seven league games under Tony Pulis. Stuart James	1	0.5736024975776672,0.9964739084243774
299	West Ham United	Crystal Palace	1	3	28/02/2015	15	West Ham have conceded last-minute equalisers against Manchester United and Tottenham and crashed out of the FA Cup during a frustrating run of five matches without a victory. Yet they will be confident of getting back to winning ways against Crystal Palace, who are five points above the bottom three. Alan Pardew’s side have injury worries in attack, Fraizer Campbell, Marouane Chamakh and Yaya Sanogo all unavailable. Jacob Steinberg	-1	-0.9995515942573547,0.33869896332422894
300	Arsenal	West Ham United	3	0	14/03/2015	15	In a perfect world Arsène Wenger would be casting an eye towards Tuesday’s Champions League second leg in Monaco and tailoring his team accordingly, but so tight is the battle for top-four places, and so slender are Arsenal’s chances of progress to the quarter-finals after their first-leg disaster and 3-1 defeat, he has no margin for error against a West Ham side who have slipped to 10th but are still very capable, especially under the guidance of Sam Allardyce who will be keen to rediscover his old habit of getting under Wenger’s skin. Paul Chronnell	1	0.9966848492622375,0
301	Burnley	Manchester City	1	0	14/03/2015	15	These two sides met at the Etihad at the end of last year, and as Sean Dyche put it “a scratch of luck” helped Burnley claw back a 2-0 deficit to end the game 2-2. Dyche will have his fingers crossed for more of the same on Saturday, but the game will mean just as much to City who know they can’t afford to drop any more points if they have any chance at all of catching Chelsea for the title. Sean Morrison	1	0.9866298139095306,0.9181134700775146
302	Crystal Palace	Queens Park Rangers	3	1	14/03/2015	15	QPR have lost seven of their last eight league matches and yet they will go into this game with a degree of confidence, as they are somehow still within touching distance of safety and there has been a slight upswing in performances since Chris Ramsey replaced Harry Redknapp, even if results have not reflected that. If Rangers can abstain from ruining good general displays with sudden defensive mistakes, they might just get a positive result at Selhurst Park, where Palace remain a little vulnerable. Paul Doyle	1	0.9802491068840027,0.9992433786392212
303	Leicester City	Hull City	0	0	14/03/2015	15	Leicester’s desperate scramble for a way out of the bottom three continues, and if ever there was a window of opportunity this could be it. Steve Bruce’s Hull have won only one of their last 13 away matches, and have won only one of their last seven league meetings with Leicester. Kasper Schmeichel is back for rock-bottom Leicester, after four months out, to face a team who have failed to score in seven of their last 10 away league games. Sean Morrison	0	-0.9407937228679657,-0.9925561547279358
304	Sunderland	Aston Villa	0	4	14/03/2015	15	A big crowd, possibly in excess of 45,000, is expected as struggling Sunderland aim to end a run of five Premier League games without a win in this classic relegation “six-pointer”. Should Tim Sherwood choreograph a third straight victory for Aston Villa the mood on Wearside could well turn ugly. If Gus Poyet would be well advised to have a tin hat at hand on a day when he must cope without the suspended Lee Cattermole and Adam Johnson, Sherwood remains wary of Jermain Defoe’s potential penalty area menace. Louise Taylor	-1	-0.9917024970054626,-0.9997455477714539
305	West Brom	Stoke City	1	0	14/03/2015	15	After eight years as Stoke City’s manager, Tony Pulis entertains his former club knowing a win could take West Brom almost comfortably clear of the relegation zone. Mark Hughes, who has surprisingly presided over a higher win rate than Pulis since taking charge, will be looking to disturb the Baggies’ good form at home, where they have kept five clean sheets in their last six games in all competitions. Sean Morrison	1	0.969538152217865,0.9994496703147888
306	Chelsea	Southampton	1	1	15/03/2015	15	José Mourinho has been at pains to draw a line under Chelsea’s midweek elimination from Europe, with his players apparently fit, focused and eager to return to domestic matters where a Premier League title must be claimed. Efforts will be made to liberate Diego Costa and revive Cesc Fàbregas after recent stodgy form, and Southampton will arrive braced for a backlash and have been suffering themselves of late – even their much-needed 1-0 win over Crystal Palace was not fluent. Both these teams are in need of a performance. Dominic Fifield	0	0.9580010771751404,-0.3382786711057027
307	Everton	Newcastle United	3	0	15/03/2015	15	Two Europa League meetings with Dynamo Kyiv followed by Newcastle United and then QPR in the Premier League could be a defining period in Everton’s season and the reign of Roberto Martínez. Tension was palpable inside Goodison Park against the Ukrainian league leaders, something John Carver’s side will look to capitalise on as they bid to improve a poor run of one win in eight Premier League away matches, but Everton held their nerve and rediscovered their verve to record a merited win. They must start in that vein on Sunday with the threat of relegation creeping. Andy Hunter	1	0.9991812407970428,0
308	Manchester United	Tottenham Hotspur	3	0	15/03/2015	15	Now is the time for Louis van Gaal and his expensive squad of highly paid players to prove their worth to Manchester United as Tottenham Hotspur’s arrival for the late Sunday game starts the campaign’s crucial phase. United stand only three points ahead of Spurs in fourth place in the “rat race”, as Van Gaal continues to call it, for a Champions League berth. Next for United are Liverpool, at Anfield, before Manchester City and Chelsea are opponents in two of the following three matches. Jamie Jackson	1	0.8907365401585897,0
309	Swansea City	Liverpool	0	1	16/03/2015	15	Liverpool will arrive in Wales looking to continue the form that has taken them back into top-four contention: unbeaten in the league in 2015 and buoyed by recent wins over Manchester City, Southampton and Spurs. Swansea lost the reverse fixture 4-1 but Garry Monk’s side will not be overawed – in their last home game they came from behind to beat Manchester United 2-1. Sean Morrison	-1	0.9970571994781494,0.9994099140167236
310	Aston Villa	Swansea City	0	1	21/03/2015	15	After lifting the gloom at Villa Park and overseeing three straight wins, including that 4-0 thumping at Sunderland last Saturday, the challenge for Tim Sherwood now is to maintain momentum. With no change on the injury front, Sherwood’s only selection dilemma is whether Leandro Bacuna, who was excellent at Sunderland, should keep his place now that Alan Hutton is back from suspension. Garry Monk, Swansea’s manager, is expected to be able to call upon Federico Fernández, who missed the Liverpool defeat on Monday for personal reasons. Stuart James	-1	0.0018727481365203857,0.9257288575172424
311	Manchester City	West Brom	3	0	21/03/2015	15	After the midweek travails in Catalonia that ended Manchester City’s Champions League dreams at the hands of Barcelona for a second successive year, West Brom’s visit allows Manuel Pellegrini’s beleaguered team to get back on track. That is the hope, of course. But with a record of three wins in their last 12 outings, City’s confidence is low and Albion are sure to make this an awkward early kick-off for the champions. Jamie Jackson	1	0.000838160514831543,0
312	Newcastle United	Arsenal	1	2	21/03/2015	15	If life at Newcastle United remains one of football’s most enduring serial dramas, the latest plot-line has assumed a distinctly medical tone with assorted injuries leaving John Carver selecting from a skeleton squad. Aware of Papiss Cissé and Fabricio Coloccini’s suspensions, Arsène Wenger will sense an opportunity for Arsenal to mitigate their midweek Champions League disappointment against Monaco by continuing to conclude the League campaign in convincing style. Holland’s Daryl Janmaat, one of Carver’s two available senior defenders, will relocate from right-back to replace Coloccini at centre-half. Louise Taylor	-1	-0.9957048296928406,0.9995891451835632
313	Southampton	Burnley	2	0	21/03/2015	15	Burnley’s survival battle looked doomed at the start of the month, but last Saturday’s defeat of the champions Manchester City has the Turf Moor faithful believing again, and Sunderland are looking vulnerable above them. Southampton are involved at the other end of the table, and their draw at Stamford Bridge showed why they have not yet given up on finishing in the top four. Paul Chronnell	1	-0.9423768520355225,0.9905912280082703
314	Stoke City	Crystal Palace	1	2	21/03/2015	15	Having dispatched QPR last Saturday, relegation fears are receding for Palace, but Alan Pardew will be keen for them not to get into flip-flops mode just yet. With a takeover of the club imminent, the Palace squad know an overhaul could be on the cards in the summer. Mark Hughes’s Stoke side sit in eighth, probably the summit of their ambitions, and look capable of staying there. Paul Chronnell	-1	0.9993546605110168,0.9786874651908875
315	West Ham United	Sunderland	1	0	21/03/2015	15	Dick Advocaat’s rescue mission begins at Upton Park. Sunderland replaced Gus Poyet with the Dutchman after the chastening 4-0 home defeat to Aston Villa and hope that he can steer them clear of relegation. Advocaat will see the trip to east London as a good opportunity to hit the ground running as West Ham have not won in the league since 18 January and are likely to be without several key players, including Winston Reid. Jacob Steinberg	1	0.9900148212909698,0.9967231154441833
316	Hull City	Chelsea	2	3	22/03/2015	15	José Mourinho knows that with a six-point lead, a game in hand, and faltering rivals the title should be a formality. But the home draws with Southampton and Burnley and the European exit to PSG have exposed some hitherto unnoticed flaws. Chelsea need to show they are not flagging on Sunday, but Hull, just three points above the relegation places, cannot afford to be obliging hosts. Paul Chronnell	-1	0,-0.9818337857723236
317	Liverpool	Manchester United	1	2	22/03/2015	15	The fierce rivalry will have an added edge at Anfield with both teams in pursuit of a top-four finish, possibly at the other’s expense, and Liverpool looking to avenge December’s 3-0 defeat at Old Trafford. That result left Brendan Rodgers’ team 10th in the table and 10 points behind United but their recovery has been outstanding, with 33 points taken from the last 39 available. Louis van Gaal’s men must maintain the impressive shown form against Spurs last Sunday or risk being overtaken. Andy Hunter	-1	0.9981367886066437,0.982058048248291
318	Queens Park Rangers	Everton	1	2	22/03/2015	15	Everton’s long journey back from Ukraine following Thursday night’s Europa League elimination by Dynamo Kyiv, and their chaotic defending in that match, will give QPR hope that they can get the win they badly need to kickstart their survival bid. But QPR’s abject display against Crystal Palace last week must leave Chris Ramsey wondering whether he has anybody who can be relied upon to rise to the occasion. Roberto Martínez will likely be more optimistic than the home manager. Paul Doyle	-1	-0.9960126876831055,0.9054920971393585
319	Arsenal	Liverpool	4	1	04/04/2015	15	Arsenal can take a significant step towards qualifying for the Champions League and simultaneously dampen Liverpool’s hopes with a victory on Saturday. Arsène Wenger and Olivier Giroud’s manager and player of the month awards for March are testament to how strong the Gunners have been. Liverpool will miss the experience of Steven Gerrard and Martin Skrtel but Brendan Rodgers will know his side still have the quality to secure a vital win. Graham Searles	1	0.9853764176368713,0.9996674060821533
320	Chelsea	Stoke City	2	1	04/04/2015	15	There may be no Diego Costa from the start against Stoke, but Chelsea will still aspire to move further clear at the top of the division with victory in Saturday’s late kick-off. Loïc Rémy’s winner at Hull City in their last fixture may end up as one of the campaign’s key goals. Stoke are safe and, despite having lost their last two games, will test the hosts’ resolve. “A difficult team,” said José Mourinho. An awkward, if not daunting, afternoon lies ahead for the leaders. Dominic Fifield	1	0.007393360137939453,0.9993040561676025
321	Everton	Southampton	1	0	04/04/2015	15	Back-to-back league wins have eased Everton’s relegation worries but they remain six points shy of the 40-point mark and host a Southampton team who have regained sharpness at a crucial time in the race for European qualification. Ronald Koeman will hope the 38-year-old goalkeeper Kelvin Davis maintains the form that denied Burnley on his first league start for almost 15 months, with Fraser Forster out for the season, and his task will be helped if Romelu Lukaku fails a fitness test on a hamstring injury. Andy Hunter	1	0.9700464308261871,0
322	Leicester City	West Ham United	2	1	04/04/2015	15	Time is running out for Leicester City in the Premier League. Esteban Cambiasso said earlier in the week that staying up would be “like winning a trophy”. There might still be time for a miraculous recovery but that needs to begin with a win against West Ham. “We have to make sure we maximise our home opportunities,” said the Foxes manager, Nigel Pearson. “That really is going to be pivotal.” Graham Searles	1	-0.9255708456039429,-0.9839208126068115
323	Manchester United	Aston Villa	3	1	04/04/2015	15	Everything is suddenly rosy at Manchester United after the consecutive victories over Tottenham Hotspur and Liverpool mean Louis van Gaal can look upwards towards the leaders, Chelsea, as is his stated wish. Yet as the final stretch of the “rat race” to qualify for the Champions League is entered Aston Villa arrive at Old Trafford having drawn 1-1 in the reverse fixture, despite having only 10 men for the final 25 minutes due to Gabriel Agbonlahor’s red card in that December game. This resilience means United may have a difficult time maintaining momentum though, really, given their £150m-plus summer transfer spend there should be only one victor. Jamie Jackson	1	0.005071520805358887,0.6970393657684326
324	Swansea City	Hull City	3	1	04/04/2015	15	A home match against Hull offers Swansea a good chance to pick up their first points following an international break this season. Away games at Chelsea, Stoke and Manchester City all ended in defeat and the Swansea manager, Garry Monk, says his side “have to put that right” on Saturday. The visitors will be encouraged by the return of James Chester and Mohamed Diamé from injury. Rich Flower	1	0.003595024347305298,0.9998767375946045
325	West Brom	Queens Park Rangers	1	4	04/04/2015	15	Tony Pulis was typically assertive when he said on Friday that West Brom had “gone off the rails” in recent seasons and he is looking to rebuild the club from top to bottom. He has certainly improved West Brom but they could struggle if Saido Berahino and Brown Ideye fail late fitness tests. That said, QPR’s away form has been dreadful this season, so Pulis will surely remain confident. Graham Searles	-1	-0.9787609875202179,0.5498413443565369
326	Burnley	Tottenham Hotspur	0	0	05/04/2015	15	Burnley begin the day in the relegation zone but just one point from safety. Sean Dyche is unrelenting in his view that they can stay in the Premier League and his players will need to draw on every last drop of his defiance to keep Harry Kane from adding to his impressive goal tally. Tottenham are reliant on Kane and will need him to keep firing to maintain their Champions League ambitions. Graham Searles	0	-0.8998302519321442,-0.9915502071380615
327	Sunderland	Newcastle United	1	0	05/04/2015	15	The so called “Desperation Derby” sees Sunderland hoping to assuage their relegation worries and Newcastle United aiming to end a run of four successive defeats against their detested neighbours. As Dick Advocaat takes charge of Sunderland for the second time much looks set to hinge on the likely midfield duel involving the home enforcer Lee Cattermole and Moussa Sissoko. By uncanny coincidence, Advocaat’s two immediate predecessors, Gus Poyet and Paolo Di Canio, also faced Newcastle during their second matches at the helm, both securing slightly unexpected victories. Louise Taylor	1	0.0021861791610717773,0.9996919631958008
328	Crystal Palace	Manchester City	2	1	06/04/2015	15	The champions will be braced to start Monday’s game in south London nine points behind the leaders, Chelsea, and possibly even from a relatively lowly fourth place in the table, making victory at Selhurst Park essential. Their recent record at Crystal Palace is excellent, the hosts having failed to prevail in this fixture since December 2001, though Alan Pardew’s team have been resurgent of late.The visitors will enjoy the possession, but must be guarded for the pace on the counter offered by Jason Puncheon, Wilfried Zaha and Yannick Bolasie. Dominic Fifield	1	0.8933789531389872,0
329	Burnley	Arsenal	0	1	11/04/2015	15	A win for Arsenal would take them to within touching distance of the leaders, Chelsea, if only momentarily, before José Mourinho’s side play QPR on Sunday. The visitors are in search of their eighth successive victory in all competitions, while Burnley have just one win from their past 10 games. Arsenal have not lost to a team in the bottom half this season but Sean Dyche’s side have already beaten one of the top four at Turf Moor, defeating the champions, Manchester City, 1-0 last month. Ben Fisher	-1	0.006396442651748657,0.9968481659889221
330	Southampton	Hull City	2	0	11/04/2015	15	Southampton’s challenge for a Champions League spot may have faded but Hull are unlikely to find them in an accommodating mood. A fifth-place finish is still very much within the home side’s grasp and that would represent a fine achievement for Ronald Koeman in his debut season. A lack of firepower has been the main reason for Southampton’s deteriorating results but their overall performances have remained impressive and they should be too strong for a creaking Hull side in danger of being sucked into the relegation zone. If Steve Bruce’s side are to save themselves, it will probably be during their remaining home fixtures. Paul Doyle	1	0.41629910469055176,-0.9630313515663147
331	Sunderland	Crystal Palace	1	4	11/04/2015	15	Alan Pardew has a particular point to prove at a ground where he can expect plenty of abuse from the stands. As Newcastle United manager he lost his last four north-east derbies against Sunderland and will be anxious to see his Palace side wreak revenge on Dick Advocaat’s relegation-threatened team. Advocaat is likely to be wary of Palace’s counterattacking threat as he aims to build on last Sunday’s home triumph against John Carver’s Newcastle. Even if the current mini-heatwave continues, Sunderland’s Dutch manager is expected to wear his lucky brown winter scarf. Louise Taylor	-1	-0.9294074475765228,0.004341423511505127
332	Swansea City	Everton	1	1	11/04/2015	15	Swansea have never beaten Everton in the league though they saw them off 3-0 in the League Cup and another win would take the Swans past the previous-best points total of 47. For Roberto Martínez it is back to the club where it all started as a manager and after a season’s best three league wins in a row, will be looking to extend that as the race for places and prize money intensifies. Mark Tallentire	0	0.9897006750106812,0.996132493019104
333	Tottenham Hotspur	Aston Villa	0	1	11/04/2015	15	Will it be a triumphant return to White Hart Lane for Tim Sherwood? How he would love to get one over on his former club and show Tottenham Hotspur that they were wrong to sack him last summer, although it is not all about revenge for the Villa manager. His team are a mere three points above the bottom three and are winless in their past three matches. Yet putting an end to that worrying run will not be straightforward against Spurs, who have not completely given up hope of finishing in the top four. Jacob Steinberg	-1	-0.0026943981647491455,0.00026619434356689453
334	West Brom	Leicester City	2	3	11/04/2015	15	West Brom will celebrate Jeff Astle Day hoping to overcome last weekend’s humbling at the hands of QPR, when Tony Pulis’s team shipped four goals to leave them with only one win from their past five games in all competitions. Leicester, buoyed by a win over West Ham a week ago, need to keep building momentum if they are to defy the odds and survive an immediate return to the Championship. They sit six points from safety but have a favourable run-in. Alan Smith	-1	0.9881770014762878,-0.9909512996673584
335	West Ham United	Stoke City	1	1	11/04/2015	15	Although unhelpful, fresh doubts over the long-term future of the West Ham manager, Sam Allardyce, should not derail West Ham’s hopes of securing a top-half finish. The hosts have lost four of their past five matches and go into the game level on points with Stoke, who have lost their previous three. This hardly suggests a classic is in store but keep an eye on Peter Crouch, who is one headed goal away from Alan Shearer’s Premier League record of 46. Ben Fisher	0	-0.9208999276161194,0.993958592414856
336	Manchester United	Manchester City	4	2	12/04/2015	15	Can Manchester United beat Manchester City for the first time on their own patch since 2011? Can Manuel Pellegrini’s champions halt a slide that has featured three defeats in the past five league games? The answers to these questions – and many more – should be known by 6pm on Sunday when whichever team has kept their head best amidst the sound and fury of the 169th derby has the best chance of claiming the spoils. Jamie Jackson	1	-0.9974958300590515,0
337	Queens Park Rangers	Chelsea	0	1	12/04/2015	15	Queens Park Rangers should draw encouragement from four points and seven goals in two games on the road over the last week, though their more attacking approach might open the door for Chelsea to revel in the west London derby. José Mourinho has no qualms about selecting Nemanja Matic or Cesc Fàbregas, both of whom are one booking away from a two-match ban before the weekend cut-off. “We need points, we need victories, we cannot choose matches,” he said. The same applies to the hosts. Dominic Fifield	-1	0.9815278053283691,-0.9952771663665771
338	Liverpool	Newcastle United	2	0	13/04/2015	15	Both managers require a response from their teams at Anfield but for very different reasons. Liverpool restored confidence by reaching the FA Cup semi-finals on Wednesday but, after consecutive defeats in the Premier League, can ill afford another slip if they are to catch any of the teams above them in the race for Champions League qualification. Newcastle should be safe on 35 points but, after the misery of another derby loss and amid growing supporter unrest, John Carver desperately needs to stem the decline. Andy Hunter	1	-0.9746177196502686,-0.9981535077095032
339	Chelsea	Manchester United	1	0	18/04/2015	15	Louis van Gaal’s side will arrive in south-west London in the best form of their campaign but with their defensive ranks severely depleted by injury and suspension. Phil Jones, Michael Carrick, Daley Blind, Marcos Rojo and Jonny Evans will all be absent, but there will be no sympathy from José Mourinho. “Their squad is amazing, in numbers, players, experience, solutions,” said the Portuguese, whose side can move 11 points clear of their visitors with victory. Chelsea, who will give a late check to Loïc Rémy, know a win will bring the title tantalisingly within reach. Dominic Fifield	1	0.9992988109588623,-0.9955168962478638
340	Crystal Palace	West Brom	0	2	18/04/2015	15	This time last year Tony Pulis was being feted for his remarkable rescue act at Selhurst Park, a mantle that has now passed on to Alan Pardew who, with eight wins from 12 games, has banished thoughts of relegation. Pulis initially performed a similar feat at The Hawthorns too, but returns to Palace after successive home defeats to QPR and Leicester that mean Albion are not safe yet. Paul Chronnell	-1	0.9968698620796204,-0.9976891279220581
